,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res,countrycode,region,closingdate_initial,closingdate_final,totalcost_initial,totalcost_final,matchingresult,duration_initial,duration_final,delay,cost_overrun,cost_overrun_mark,delay_mark,closing_year,approval_year,year_for_plr,totalcost_initial_adj1_plr,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,totalcost_initial_adj,totalcost_final_adj,project_size,env_risk,soc_risk,risk_category
10,29694-013,Gujarat Power Sector Development Program (Project Loan),India,Loan | Technical Assistance,Closed,1803 | 1804 | 3573 | 3574 | 3575,2000-12-13,Energy,Electricity transmission and distribution ,B,C,C,IND,South Asia,2002-12-31,2007-03-20,460.2,300.24,matched,2.0,6.3,4.2,-159.95999999999998,False,True,2007,2000,2000,2173.26,6077.86,2007,1030.7,2002.52,6077.86,2002.52,mega,1,0,Environmental Only
11,30207-013,Power Sector Development Program (Project Loan),Sri Lanka,Loan,Closed,1929 | 1930,2002-10-31,Energy,Electricity transmission and distribution ,B,C,C,SRI,South Asia,2007-06-30,2010-05-12,167.9,136.6,matched,4.7,7.5,2.9,-31.30000000000001,False,True,2010,2002,2002,768.73,2599.97,2010,400.49,618.27,2599.97,618.27,mega,1,0,Environmental Only
12,30240-013,GMS: Cambodia Road Improvement Project,Cambodia,Loan,Closed,1945 | 8205,2003-04-17,Transportation,Road transport (non-urban),B,C,C,CAM,Southeast Asia,2007-06-30,2011-09-15,77.5,86.97,matched,4.2,8.4,4.2,9.47,True,True,2011,2003,2003,320.24,673.88,2011,257.41,320.19,673.88,320.19,large,1,0,Environmental Only
13,30255-013,Rural Access Roads,Lao People's Democratic Republic,Loan,Closed,1795 | 8197,2000-12-07,Transportation,Road transport (non-urban),A,A,A,LAO,Southeast Asia,2005-04-30,2008-04-09,37.5,38.01,matched,4.4,7.3,2.9,0.509999999999998,True,True,2008,2000,2000,211.05,678.09,2008,140.35,220.34,678.09,220.34,large,1,1,Both
14,30271-013,Roads for Rural Development,Lao People's Democratic Republic,Loan,Closed,2085 | 8217,2004-06-28,Transportation,Road transport (non-urban),B,A,A,LAO,Southeast Asia,2012-06-30,2013-06-17,39.2,49.46,matched,8.0,9.0,1.0,10.259999999999998,True,True,2013,2004,2004,221.76,490.19,2013,142.49,166.87,490.19,166.87,medium,1,1,Both
15,30303-013,Karnataka Urban Development and Coastal Environmental Management Project,India,Loan,Closed,1704,1999-10-26,Water,,B,C,C,IND,South Asia,2005-06-30,2009-11-25,251.4,240.87,matched,5.7,10.1,4.4,-10.53,False,True,2009,1999,1999,1141.31,3308.19,2009,854.98,1421.19,3308.19,1421.19,mega,1,0,Environmental Only
16,30311-013,Third Road Rehabilitation,Kyrgyz Republic,Loan,Closed,1853,2001-10-31,Transportation,Road transport (non-urban),B,C,C,KGZ,Central and West Asia,2005-04-30,2007-12-10,50.0,57.1,matched,3.5,6.1,2.6,7.100000000000001,True,True,2007,2001,2001,322.0,1333.64,2007,219.13,604.63,1333.64,604.63,mega,1,0,Environmental Only
17,30403-013,Coal Mine Methane Development Project,China,Loan,Closed,2146,2004-12-20,Energy,Conventional energy generation,B,A,B,PRC,East Asia,2009-06-30,2011-01-28,237.0,288.6,matched,4.5,6.1,1.6,51.60000000000002,True,True,2011,2004,2004,697.4,1187.73,2011,529.09,621.61,1187.73,621.61,mega,1,1,Both
18,30424-013,Shaanxi Roads Development,China,Loan,Closed,1838,2001-08-30,Transportation,Road transport (non-urban),A,C,A,PRC,East Asia,2006-03-31,2010-01-07,757.0,965.5,matched,4.6,8.4,3.8,208.5,True,True,2010,2001,2001,2315.18,4357.89,2010,1962.84,2490.95,4357.89,2490.95,mega,1,1,Both
19,30551-013,Mindanao Basic Urban Services Sector,Philippines,Loan,Closed,1843,2001-09-27,Transportation,Road transport (non-urban) ,B,C,C,PHI,Southeast Asia,2008-06-30,2009-11-18,60.0,40.33,matched,6.8,8.1,1.4,-19.67,False,True,2009,2001,2001,214.67,386.65,2009,111.56,139.51,386.65,139.51,medium,1,0,Environmental Only
20,31190-013,Tianjin Wastewater Treatment and Water Resources Protection,China,Loan,Closed,1797,2000-12-11,Water,Urban sewerage ,A,C,A,PRC,East Asia,2006-06-30,2007-09-05,340.7,337.33,matched,5.5,6.7,1.2,-3.3700000000000045,False,True,2007,2000,2000,1041.76,2004.29,2007,855.47,1251.03,2004.29,1251.03,mega,1,1,Both
21,31296-013,West Zone Power System Development Project,Bangladesh,Loan,Closed,1884 | 1885,2001-12-17,Energy,Electricity transmission and distribution,B,C,C,BAN,South Asia,2006-09-30,2010-11-08,402.1,333.76,matched,4.8,8.9,4.1,-68.34000000000003,False,True,2010,2001,2001,1358.8,3908.19,2010,1042.43,1793.04,3908.19,1793.04,mega,1,0,Environmental Only
22,31341-013,Northern Area Rural Power Distribution,Lao People's Democratic Republic,Loan,Closed,2005,2003-09-18,Energy,Electricity transmission and distribution,B,C,A,LAO,Southeast Asia,2008-09-30,2010-06-23,51.51,63.39,matched,5.0,6.8,1.7,11.880000000000004,True,True,2010,2003,2003,312.04,763.48,2010,212.38,314.57,763.48,314.57,large,1,1,Both
23,31367-013,Provincial Roads Improvement,Viet Nam,Loan,Closed,1888,2001-12-18,Transportation,Road transport (non-urban),B,C,C,VIE,Southeast Asia,2006-12-31,2010-07-08,100.0,102.96,matched,5.0,8.6,3.5,2.9599999999999937,True,True,2010,2001,2001,527.7,2098.71,2010,329.66,522.11,2098.71,522.11,mega,1,0,Environmental Only
24,31435-013,Western Transport Corridor,India,Loan,Closed,1839,2001-09-20,Transportation,Road transport (non-urban),B,C,C,IND,South Asia,2005-12-31,2008-08-26,378.0,460.4,matched,4.3,6.9,2.7,82.39999999999998,True,True,2008,2001,2001,1846.14,5002.17,2008,1685.41,2998.82,5002.17,2998.82,mega,1,0,Environmental Only
25,31501-023,Secondary Towns and Rural Community-Based Water Supply and Sanitation Project (Supplementary Loans),Sri Lanka,Loan,Closed,2275 | 2276,2006-11-29,Water,Urban water supply,B,C,B,SRI,South Asia,2013-03-31,2014-10-08,170.81,251.61,matched,6.3,7.9,1.5,80.80000000000001,True,True,2014,2006,2006,650.56,1513.48,2014,742.47,921.5,1513.48,921.5,mega,1,1,Both
26,32058-013,Road Sector Development Project,Pakistan,Loan,Closed,1891 | 1892 | 1893 | 1928 | 8202,2001-12-19,Transportation,Road transport (non-urban),B,C,C,PAK,Central and West Asia,2007-06-30,2010-07-16,236.0,195.33,matched,5.5,8.6,3.0,-40.66999999999999,False,True,2010,2001,2001,1022.94,3674.38,2010,748.97,1369.81,3674.38,1369.81,mega,1,0,Environmental Only
27,32107-013,Power Transmission Improvement (Sector) Loan,India,Loan,Closed,1764,2000-10-06,Energy,Electricity transmission and distribution,B,C,A,IND,South Asia,2006-03-31,2007-08-10,491.5,390.94,matched,5.5,6.8,1.4,-100.56,False,True,2007,2000,2000,2321.08,6491.26,2007,1342.07,2607.47,6491.26,2607.47,mega,1,1,Both
28,32124-013,Road Upgrading and Maintenance,Papua New Guinea,Loan,Closed,1709,1999-11-16,Transportation,,B,C,C,PNG,Pacific,2006-06-30,2013-02-07,193.45,184.05,matched,6.6,13.2,6.6,-9.399999999999975,False,True,2013,1999,1999,432.49,1196.77,2013,223.52,285.18,1196.77,285.18,mega,1,0,Environmental Only
29,32124-023,Road Maintenance and Upgrading (Sector) Project (Supplementary Loans),Papua New Guinea,Loan,Closed,2242 | 2243,2006-06-29,Transportation,Road transport (non-urban),B,C,C,PNG,Pacific,2012-06-30,2013-02-07,114.7,104.7,matched,6.0,6.6,0.6,-10.0,False,True,2013,2006,2006,211.69,339.74,2013,127.15,162.23,339.74,162.23,medium,1,0,Environmental Only
30,32184-013,Rehabilitation of the Maritime Navigation Aids System,Papua New Guinea,Loan,Closed,1754,2000-09-12,Transportation,Water transport (non-urban),B,C,C,PNG,Pacific,2006-04-30,2008-10-23,30.12,29.08,matched,5.6,8.1,2.5,-1.0400000000000027,False,True,2008,2000,2000,66.3,162.21,2008,44.35,63.6,162.21,63.6,medium,1,0,Environmental Only
31,32200-013,Suva Nausori Water Supply and Sewerage Project,Fiji,Loan | Technical Assistance,Closed,2055 | 4270,2003-12-18,Water,Urban sewerage ,B,C,A,FIJ,Pacific,2009-06-30,2015-04-14,95.03,137.17,matched,5.5,11.3,5.8,42.139999999999986,True,True,2015,2003,2003,219.91,402.66,2015,315.74,339.43,402.66,339.43,medium,1,1,Both
32,32203-013,West Bengal Corridor Development,India,Loan,Closed,1870,2001-12-11,Transportation,Road transport (non-urban),B,C,A,IND,South Asia,2007-06-30,2011-06-23,323.0,133.6,matched,5.5,9.5,4.0,-189.4,False,True,2011,2001,2001,1577.53,4274.36,2011,411.74,569.5,4274.36,569.5,mega,1,1,Both
33,32223-013,Road Network Improvement and Maintenance,Bangladesh,Loan,Closed,1920 | 8204,2002-10-10,Transportation,Road transport (non-urban),B,C,A,BAN,South Asia,2007-12-31,2011-12-19,122.9,76.05,matched,5.2,9.2,4.0,-46.85000000000001,False,True,2011,2002,2002,432.07,1196.16,2011,231.34,368.92,1196.16,368.92,mega,1,1,Both
34,32234-023,MFF - Railway Sector Investment Program (Subproject 1),Bangladesh,Loan,Closed,2316 | 2317,2007-02-13,Transportation,Rail transport (non-urban),B,C,A,BAN,South Asia,2016-10-09,2017-05-04,380.15,296.56,matched,9.7,10.2,0.6,-83.58999999999997,False,True,2017,2007,2007,1408.76,2989.8,2017,799.51,876.87,2989.8,876.87,mega,1,1,Both
35,32234-043,Railway Sector Investment Program - Tranche 2,Bangladesh,Loan,Closed,2845,2011-12-22,Transportation,Rail transport (non-urban),B,C,A,BAN,South Asia,2016-06-30,2016-12-28,150.0,149.93,matched,4.5,5.0,0.5,-0.0699999999999931,False,True,2016,2011,2011,456.3,727.67,2016,416.27,479.59,727.67,479.59,large,1,1,Both
36,32234-053,Railway Sector Investment Program - Tranche 3,Bangladesh,Loan,Closed,3097,2013-12-09,Transportation,Rail transport (non-urban),C,C,C,BAN,South Asia,2016-10-09,2017-05-04,113.71,91.6,matched,2.8,3.4,0.6,-22.11,False,True,2017,2013,2013,365.63,502.98,2017,246.95,270.85,502.98,270.85,large,0,0,No Risk
37,32253-013,East West Corridor,India,Loan,Closed,1944,2002-11-26,Transportation,Road transport (non-urban),B,C,A,IND,South Asia,2006-12-31,2009-08-24,575.8,644.2,matched,4.1,6.7,2.6,68.40000000000009,True,True,2009,2002,2002,2794.71,7301.06,2009,2286.62,3800.95,7301.06,3800.95,mega,1,1,Both
38,32254-013,Urban Water Supply and Environmental Improvement in Madhya Pradesh,India,Loan,Closed,2046,2003-12-12,Water,Urban flood protection ,B,C,A,IND,South Asia,2011-09-30,2014-06-24,383.0,311.8,matched,7.8,10.5,2.7,-71.19999999999999,False,True,2014,2003,2003,1732.54,4357.64,2014,1041.74,1216.65,4357.64,1216.65,mega,1,1,Both
39,32254-023,Urban Water Supply and Environmental Improvement in Madhya Pradesh Project (Supplementary Loan),India,Loan,Closed,2456,2008-10-13,Water,Urban flood protection ,C,C,C,IND,South Asia,2013-12-31,2014-06-24,383.0,311.8,matched,5.2,5.7,0.5,-71.19999999999999,False,True,2014,2008,2008,1402.07,2494.68,2014,1041.74,1216.65,2494.68,1216.65,mega,0,0,No Risk
40,32273-013,Northern Power Transmission (Sector) Project,Viet Nam,Loan,Closed,2128,2004-12-13,Energy,Electricity transmission and distribution,B,C,A,VIE,Southeast Asia,2009-12-31,2012-05-10,273.6,245.9,matched,5.0,7.4,2.4,-27.700000000000017,False,True,2012,2004,2004,1350.19,4415.98,2012,717.61,858.19,4415.98,858.19,mega,1,1,Both
41,32273-023,Guarantee to Commercial Bank for a Loan in Connection with the Investment Support Program for Viet Nam Electricity,Viet Nam,Loan,Closed,2604,2009-12-11,Energy,Electricity transmission and distribution,B,B,B,VIE,Southeast Asia,2009-12-31,2012-05-10,273.6,245.9,matched,0.1,2.4,2.4,-27.700000000000017,False,True,2012,2009,2009,889.34,1578.59,2012,717.61,858.19,1578.59,858.19,mega,1,1,Both
42,32298-053,MFF-Madhya Pradesh Power Sector Investment Program (Tranche 4),India,Loan,Closed,2347,2007-08-21,Energy,Electricity transmission and distribution,B,C,C,IND,South Asia,2011-12-31,2014-05-01,159.7,81.81,matched,4.4,6.7,2.3,-77.88999999999999,False,True,2014,2007,2007,548.24,1065.16,2014,273.33,319.22,1065.16,319.22,mega,1,0,Environmental Only
43,32298-063,MFF - Madhya Pradesh Power Sector Investment Program - Project 5,India,Loan,Closed,2520,2009-04-13,Energy,Electricity transmission and distribution,B,C,C,IND,South Asia,2013-06-30,2015-07-22,270.2,163.8,matched,4.2,6.3,2.1,-106.39999999999998,False,True,2015,2009,2009,959.09,1594.25,2015,561.0,640.59,1594.25,640.59,mega,1,0,Environmental Only
44,32298-073,Madhya Pradesh Power Sector Investment Program - Tranche 6,India,Loan,Closed,2732,2010-12-21,Energy,Electricity transmission and distribution,B,C,B,IND,South Asia,2014-12-31,2015-06-26,951.4,681.21,matched,4.0,4.5,0.5,-270.18999999999994,False,True,2015,2010,2010,2969.92,4466.61,2015,2333.08,2664.08,4466.61,2664.08,mega,1,1,Both
45,32300-013,Kerala Sustainable Urban Development  (formerly Urban Infrastructure Development and Environment II),India,Loan,Closed,2226,2005-12-20,Transportation,Urban roads and traffic management ,B,A,B,IND,South Asia,2016-06-30,2016-11-25,316.1,158.03,matched,10.5,10.9,0.4,-158.07000000000002,False,True,2016,2005,2005,1306.6,2942.91,2016,536.83,593.77,2942.91,593.77,mega,1,1,Both
46,32327-013,Hebei Wastewater Management,China,Loan,Closed,1985,2002-12-19,Water,Urban sewerage,A,C,A,PRC,East Asia,2008-06-30,2009-11-18,165.34,173.61,matched,5.5,6.9,1.4,8.27000000000001,True,True,2009,2002,2002,510.24,954.3,2009,376.23,510.54,954.3,510.54,large,1,1,Both
47,32334-013,Southern Sichuan Roads Development,China,Loan,Closed,1918,2002-09-20,Transportation,Road transport (non-urban),A,C,A,PRC,East Asia,2008-03-31,2009-08-14,1019.0,1036.0,matched,5.5,6.9,1.4,17.0,True,True,2009,2002,2002,3144.65,5881.41,2009,2245.14,3046.61,5881.41,3046.61,mega,1,1,Both
48,32336-013,Western Yunnan Roads Development Project,China,Loan,Closed,2014,2003-10-28,Transportation,Road transport (non-urban),A,C,A,PRC,East Asia,2008-03-31,2009-06-22,582.0,766.7,matched,4.4,5.7,1.2,184.70000000000005,True,True,2009,2003,2003,1784.38,3251.39,2009,1661.53,2254.66,3251.39,2254.66,mega,1,1,Both
49,32373-013,Road Network,Bhutan,Loan | Technical Assistance,Closed,2187 | 4658,2005-09-30,Transportation,Road transport (non-urban),A,C,B,BHU,South Asia,2010-12-31,2012-04-12,34.1,36.29,matched,5.3,6.5,1.3,2.1899999999999977,True,True,2012,2005,2005,118.66,245.4,2012,113.14,148.41,245.4,148.41,medium,1,1,Both
50,32463-013,Almaty-Bishkek Regional Road Rehabilitation,Kyrgyz Republic,Loan | Technical Assistance,Closed,1775 | 3531,2000-10-31,Transportation,Road transport (non-urban),B,C,C,REG,Central and West Asia,2004-06-30,2008-03-07,112.4,122.8,matched,3.7,7.3,3.7,10.399999999999991,True,True,2008,2000,2000,748.42,3327.05,2008,385.22,869.7,3327.05,869.7,mega,1,0,Environmental Only
51,32525-013,Fiji Ports Development Project,Fiji,Loan,Closed,1902,2002-03-05,Transportation,Water transport (non-urban),B,C,C,FIJ,Pacific,2006-06-30,2007-03-01,32.26,36.23,matched,4.3,5.0,0.7,3.969999999999999,True,True,2007,2002,2002,90.96,179.38,2007,68.55,107.75,179.38,107.75,medium,1,0,Environmental Only
52,33019-013,Colombo Port Efficiency and Expansion Project,Sri Lanka,Loan,Closed,1841,2001-09-27,Transportation,Water transport (non-urban),A,C,C,SRI,South Asia,2004-02-29,2009-11-16,14.4,11.94,matched,2.4,8.1,5.7,-2.460000000000001,False,True,2009,2001,2001,65.57,239.76,2009,37.73,62.5,239.76,62.5,medium,1,0,Environmental Only
53,33175-013,Hefei-Xi'an Railway,China,Loan,Closed,1748,2000-08-17,Transportation,Rail transport (non-urban),A,C,A,PRC,East Asia,2005-12-30,2007-06-28,2835.0,2616.7,matched,5.4,6.9,1.5,-218.30000000000015,False,True,2007,2000,2000,8668.61,16677.97,2007,6635.95,9704.36,16677.97,9704.36,mega,1,1,Both
54,33176-013,Guangxi Roads Development,China,Loan,Closed,1851,2001-10-30,Transportation,Road transport (non-urban),A,C,C,PRC,East Asia,2005-10-31,2008-03-12,455.2,465.2,matched,4.0,6.4,2.4,10.0,True,True,2008,2001,2001,1392.17,2620.5,2008,1018.33,1380.72,2620.5,1380.72,mega,1,0,Environmental Only
55,33177-013,Harbin Water Supply,China,Loan,Closed,1995,2003-03-11,Water,Urban water supply,A,C,A,PRC,East Asia,2008-06-30,2009-03-24,399.5,461.7,matched,5.3,6.0,0.7,62.19999999999999,True,True,2009,2003,2003,1224.85,2231.85,2009,1000.56,1357.74,2231.85,1357.74,mega,1,1,Both
56,33243-013,Road Maintenance and Improvement,Bangladesh,Loan,Closed,1789 | 1790,2000-11-29,Transportation,Road transport (non-urban),A,C,C,BAN,South Asia,2005-06-30,2009-04-15,160.2,117.77,matched,4.6,8.4,3.8,-42.42999999999999,False,True,2009,2000,2000,509.72,1513.87,2009,387.23,713.65,1513.87,713.65,mega,1,0,Environmental Only
57,33432-013,Vientiane Urban Infrastructure and Services,Lao People's Democratic Republic,Loan,Closed,1834,2001-08-23,Transportation,Urban roads and traffic management ,B,C,C,LAO,Southeast Asia,2007-02-28,2008-04-02,37.0,43.67,matched,5.5,6.6,1.1,6.670000000000002,True,True,2008,2001,2001,220.4,650.45,2008,161.25,253.16,650.45,253.16,large,1,0,Environmental Only
58,33442-013,Ganzhou-Longyan Railway,China,Loan,Closed,1850,2001-10-30,Transportation,Rail transport (non-urban),A,C,A,PRC,East Asia,2006-12-31,2008-01-16,775.0,781.4,matched,5.2,6.2,1.0,6.399999999999977,True,True,2008,2001,2001,2370.23,4461.51,2008,1710.49,2319.2,4461.51,2319.2,mega,1,1,Both
59,33443-013,Efficient Utilization of Agricultural Wastes Project,China,Grant | Loan,Closed,1924 | 3945,2002-10-22,Energy,Renewable energy generation - biomass and waste,B,C,C,PRC,East Asia,2008-06-30,2010-08-23,77.27,83.55,matched,5.7,7.8,2.1,6.280000000000001,True,True,2010,2002,2002,238.46,445.99,2010,169.86,215.56,445.99,215.56,medium,1,0,Environmental Only
60,33459-013,Xi'an Urban Transport Project,China,Loan,Closed,2024,2003-11-27,Transportation,Urban roads and traffic management,A,C,A,PRC,East Asia,2008-06-30,2010-08-05,762.0,1333.0,matched,4.6,6.7,2.1,571.0,True,True,2010,2003,2003,2336.26,4256.99,2010,2709.96,3439.08,4256.99,3439.08,mega,1,1,Both
61,33469-013,Ningxia Roads Development,China,Loan,Closed,2004,2003-09-11,Transportation,Road transport (non-urban),A,B,A,PRC,East Asia,2009-06-30,2012-07-27,611.8,865.0,matched,5.8,8.9,3.1,253.20000000000005,True,True,2012,2003,2003,1875.75,3417.88,2012,1542.3,1769.45,3417.88,1769.45,mega,1,1,Both
62,33470-013,Gansu Roads Development Project,China,Loan,Closed,2125,2004-12-13,Transportation,Road transport (non-urban),A,B,A,PRC,East Asia,2010-06-30,2012-07-17,882.0,1341.0,matched,5.5,7.6,2.0,459.0,True,True,2012,2004,2004,2595.39,4420.18,2012,2391.01,2743.16,4420.18,2743.16,mega,1,1,Both
63,34097-013,Shanxi Road Development II,China,Loan,Closed,1967,2002-12-12,Transportation,Road transport (non-urban),A,C,A,PRC,East Asia,2007-07-31,2008-03-06,326.8,287.0,matched,4.6,5.2,0.6,-39.80000000000001,False,True,2008,2002,2002,1008.51,1886.21,2008,628.25,851.82,1886.21,851.82,mega,1,1,Both
64,34100-013,Renewable Energy Development,Indonesia,Loan | Technical Assistance,Closed,1982 | 4054,2002-12-19,Energy,Renewable energy generation - small hydro,B,A,B,INO,Southeast Asia,2008-09-30,2014-06-30,256.0,266.28,matched,5.8,11.5,5.7,10.279999999999973,True,True,2014,2002,2002,1475.02,5226.34,2014,778.83,912.59,5226.34,912.59,mega,1,1,Both
65,34121-013,Community Water Transport  Project,Papua New Guinea,Loan,Closed,2079 | 8211,2004-03-25,Transportation,Water transport (non-urban),B,C,C,PNG,Pacific,2012-06-30,2014-01-20,28.1,33.1,matched,8.3,9.8,1.6,5.0,True,True,2014,2004,2004,63.11,124.34,2014,42.54,51.48,124.34,51.48,medium,1,0,Environmental Only
66,34159-013,Road Rehabilitation II,Indonesia,Loan,Closed,2184,2005-09-29,Transportation,Road transport (non-urban),B,C,C,INO,Southeast Asia,2010-12-31,2011-04-19,215.74,274.13,matched,5.3,5.6,0.3,58.389999999999986,True,True,2011,2005,2005,1068.79,2892.62,2011,684.43,920.94,2892.62,920.94,mega,1,0,Environmental Only
67,34174-013,Central Sichuan Roads Development,China,Loan,Closed,2181,2005-09-22,Transportation,Road transport (non-urban),A,A,A,PRC,East Asia,2012-03-31,2013-02-06,2077.0,3102.63,matched,6.5,7.4,0.9,1025.63,True,True,2013,2005,2005,6015.14,9874.16,2013,5308.51,5953.54,9874.16,5953.54,mega,1,1,Both
68,34197-032,Northern and Central Regions Water Supply and Sanitation Sector,Lao People's Democratic Republic,Grant | Loan,Closed,0016 | 8219,2005-06-27,Transportation,Urban roads and traffic management ,B,B,B,LAO,Southeast Asia,2010-09-30,2014-05-16,31.5,33.66,matched,5.3,8.9,3.6,2.1599999999999966,True,True,2014,2005,2005,170.28,346.46,2014,98.52,109.13,346.46,109.13,medium,1,1,Both
69,34197-042,Northern and Central Regions Water Supply and Sanitation Sector Project - Supplementary,Lao People's Democratic Republic,Grant,Closed,205,2010-04-07,Transportation,Urban roads and traffic management ,B,B,B,LAO,Southeast Asia,2012-09-30,2014-05-16,24.9,33.66,matched,2.5,4.1,1.6,8.759999999999998,True,True,2014,2010,2010,83.42,123.56,2014,98.52,109.13,123.56,109.13,medium,1,1,Both
70,34263-013,Madhya Pradesh State Roads Sector  Development Program (Project Loan),India,Loan | Technical Assistance,Closed,1958 | 1959 | 4013,2002-12-05,Transportation,Road transport (non-urban),B,C,C,IND,South Asia,2008-06-30,2008-12-10,341.4,379.5,matched,5.6,6.0,0.4,38.10000000000002,True,True,2008,2002,2002,1657.02,4328.9,2008,1389.26,2471.89,4328.9,2471.89,mega,1,0,Environmental Only
71,34333-013,Balochistan Road Development Sector Project,Pakistan,Loan,Closed,2019 | 2020,2003-11-20,Transportation,Road transport (non-urban),B,C,A,PAK,Central and West Asia,2009-12-31,2011-04-08,268.55,213.889,matched,6.1,7.4,1.3,-54.661,False,True,2011,2003,2003,1126.9,3761.44,2011,733.21,1151.94,3761.44,1151.94,mega,1,1,Both
72,34339-033,Renewable Energy Development Sector Investment Program - Tranche 2,Pakistan,Loan,Closed,2726,2010-12-13,Energy,Renewable energy generation - wind,B,C,C,PAK,South Asia,2012-06-30,2018-06-07,144.5,144.7,matched,1.5,7.5,5.9,0.1999999999999886,True,True,2018,2010,2010,554.07,1013.35,2018,459.12,500.61,1013.35,500.61,mega,1,0,Environmental Only
73,34356-013,Central Region Transport Networks Improvement Sector Project,Viet Nam,Grant | Loan,Closed,0022 | 2195,2005-11-11,Transportation,Road transport (non-urban),B,A,A,VIE,Southeast Asia,2010-12-31,2013-06-10,138.0,139.04,matched,5.1,7.6,2.4,1.039999999999992,True,True,2013,2005,2005,595.41,1639.05,2013,398.25,457.78,1639.05,457.78,mega,1,1,Both
