projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
27250,D,D,D,PHI,Southeast Asia,Philippines,C,B,50,24.8,1996,2004,5.75,2.46,,,83,50.07,False,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
27358,D,D,D,INO,Southeast Asia,Indonesia,C,B,116,74.54,1997,2007,5.81,3.51,,,198.2,141.7,False,Water,"Urban policy, institutional and capacity development",na,na,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2009,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
27385,D,D,D,PRC,East Asia,China,C,A,200,141.8,1997,2003,5.75,,,,795.5,731.78,False,Transportation,Rail transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
27399,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,70,5.08,1999,2008,6.73,1.59,1.8,1.8,100,5.08,False,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,inefficient,nr,less than satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na
27405,D,D,D,VIE,Southeast Asia,Viet Nam,C,A,69,59.27,1997,2006,5.34,3.75,,,92,71.97,False,Water,Urban water supply,na,na,successful,highly relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,highly relevant,highly effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
27511,D,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,46,45.55,1997,2006,4.81,3.83,4.2,4.38,64.5,60.74,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
28025,B,D,D,BAN,South Asia,Bangladesh,B,B1,157,125.21,1999,2010,4.53,5.96,,,300,241.3,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,less than satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory
28079,D,D,D,BHU,South Asia,Bhutan,A,A,5.7,5.84,1998,2005,5.92,1.15,,,5.7,5.84,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,nr,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
28153,D,D,D,SRI,South Asia,Sri Lanka,B,A,75,83.15,1997,2008,7.65,3.14,46,69.7,121,152.8,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,satisfactory,PVR,2010,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory
28163,B,D,D,SRI,South Asia,Sri Lanka,B,A,70,66.92,1998,2007,6.77,2.49,,,100,103,True,Water,"Urban policy, institutional and capacity development",na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
28187,D,D,D,VIE,Southeast Asia,Viet Nam,C,A,100,49.24,1997,2005,5.1,2.41,,,140,90.26,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
28191,B,D,D,CAM,Southeast Asia,Cambodia,A,A,18.6,19.39,2000,2007,4.07,2.26,5.55,5.59,24.17,24.98,True,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
28212,A,D,D,PRC,East Asia,China,C,B2,144,135.95,2002,2013,7.21,3.53,,,774.9,901.9,True,Energy,Large hydropower generation,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
28261,B,C,C,FIJ,Pacific,Fiji,B,B,66.8,66.04,1997,2014,16.36,0.38,,,162.6,168.83,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2016,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28270,D,D,D,PHI,Southeast Asia,Philippines,C,B,93,12.16,1997,2005,5.71,2.27,29,,167,25.68,False,Transportation,Air transport,na,na,unsuccessful,highly relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,satisfactory,PVR,2008,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
28310,B,D,D,KIR,Pacific,Kiribati,A,A,10.24,9.94,1998,2008,5.07,4.28,,,12.8,12.49,False,Water,Urban water supply,na,na,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2008,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28314,B,D,D,SAM,Pacific,Samoa,A,A,13.02,13.48,2003,2011,5.59,1.86,,,17.81,17.91,True,Water,Urban sanitation,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na
28315,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,60,69.14,2001,2011,6.55,3.05,11,12.46,98,104.8,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
28331,B,D,D,SRI,South Asia,Sri Lanka,B,B1,80,94.74,1998,2009,6.56,3.77,16,22.4,123.3,183.1,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2010,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
28338,D,D,D,CAM,Southeast Asia,Cambodia,A,A,68,67.61,1999,2006,4.36,2.51,6.86,6.85,88.1,86.96,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28388,D,D,D,PRC,East Asia,China,C,B2,102,99.04,1999,2005,4.57,1.42,23.04,6.71,183,182.04,False,Energy,Energy efficiency and conservation,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29041,B,D,D,BAN,South Asia,Bangladesh,B,B1,60,65.1,2002,2010,7.1,0.94,,,87,87.23,True,Water,"Urban policy, institutional and capacity development",na,na,successful,highly relevant,highly effective,highly efficient,less than likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2013,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
29070,A,D,D,PRC,East Asia,China,C,B2,120,119.74,2000,2008,4.86,2.33,,,345,333.2,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29082,D,D,D,PHI,Southeast Asia,Philippines,C,C,24.3,3.33,1998,2005,6.55,0.36,,,41.8,7.2,False,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
29120,B,D,D,IND,South Asia,India,B,B2,250,250,1998,2009,6.58,3.95,,,362,445.95,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29242,D,D,D,BHU,South Asia,Bhutan,A,A,10,9.25,1999,2006,4.35,1.79,,,12.5,11.6,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29250,D,D,D,IND,South Asia,India,B,B2,180,149.75,2000,2006,4.18,1.29,,,280,246.79,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
29271,D,D,D,REG,Southeast Asia,#N/A,REG,REG,57,55.47,1999,2008,5.04,3.15,,,76.2,70.02,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2009,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
29282,B,D,D,CAM,Southeast Asia,Cambodia,A,A,26.26,27.53,1999,2007,6.04,1.95,,0.23,34.54,46.15,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2009,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29426,D,D,D,PRC,East Asia,China,C,B2,250,241.06,1999,2006,4.75,1.73,48.2,37.2,726.1,617.5,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
29466,B,D,D,IND,South Asia,India,B,B2,330,241.77,2000,2013,10.04,2.87,,,162.6,168.83,True,Water,Urban sewerage,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2016,na,na,na,na,na,na,na,na
29471,B,D,D,NEP,South Asia,Nepal,A,A,50,38.16,1999,2008,5.53,3.47,10,6.1,94.5,57.1,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na
29472,B,D,C,NEP,South Asia,Nepal,A,A,46,45.06,2001,2010,6.05,2.03,9.6,8.4,69.5,66.411,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na
29473,D,D,D,IND,South Asia,India,B,B2,350,327.49,2001,2007,4.57,0.76,,,468.9,260.05,False,Energy,Energy sector development and institutional reform,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2008,less than successful,highly relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
29566,B,D,D,MON,East Asia,Mongolia,B,A,25,21.73,1999,2007,5.34,2.07,,,33.5,30.2,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29567,D,D,D,UZB,Central and West Asia,Uzbekistan,B,C,50,0.6,1998,2002,4.54,-0.87,,,83.5,0.6,False,Transportation,Road transport (non-urban),na,na,unsuccessful,highly relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,unsuccessful,relevant,ineffective,nr,nr,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2010,unsuccessful,relevant,ineffective,nr,nr,less than satisfactory,less than satisfactory,less than satisfactory
29568,B,D,D,REG,Central and West Asia,#N/A,REG,REG,70,54.4,2000,2008,4.67,2.69,25.8,29.3,119.1,128.9,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,satisfactory,PPER,2008,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
29629,D,D,D,MON,East Asia,Mongolia,B,A,40,40.99,1997,2007,5.76,3.67,3,,55.7,48.12,False,Energy,Energy utility services,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29694,B,D,D,IND,South Asia,India,B,B2,350,259.06,2000,2007,2.05,4.22,,,460.2,300.24,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na
30022,D,D,D,BAN,South Asia,Bangladesh,B,B1,115,89,1999,2006,4.88,1.99,19.4,12.15,214.4,160.86,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30076,D,D,D,VIE,Southeast Asia,Viet Nam,C,B1,130,165.06,1998,2006,5.06,2.32,,,238.72,231.03,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30207,B,D,D,SRI,South Asia,Sri Lanka,B,B1,130,111.49,2002,2010,4.67,2.87,,,167.9,136.6,False,Energy,Energy sector development and institutional reform,na,na,less than successful,less than relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than successful,less than relevant,less than effective,less than efficient,nr,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2011,less than successful,less than relevant,less than effective,less than efficient,nr,less than satisfactory,less than satisfactory,satisfactory
30240,B,D,D,CAM,Southeast Asia,Cambodia,A,A,50,54.15,2002,2011,4.59,4.21,10,10,77.5,86.97,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2012,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30255,A,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,25,27.48,2000,2008,4.4,2.95,5,5,37.5,38.01,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2009,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30271,B,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,17.7,18.79,2004,2013,8.01,0.96,13.3,16.32,39.2,49.46,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2014,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
30286,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,53.22,51.89,2006,2015,5.62,2.75,,,66.72,68.91,True,Water,Urban sewerage,na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2016,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30303,B,D,D,IND,South Asia,India,B,B2,175,145,1999,2009,5.68,4.41,,,251.4,240.87,False,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PPER,2013,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30308,B,D,D,PHI,Southeast Asia,Philippines,C,C,175,163,2000,2009,5.54,3.09,,,150,98,False,Water,Renovation and protection of cultural heritage,na,na,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,satisfactory (policy loan); less than satisfactory (investment loan),satisfactory (policy loan); less than satisfactory (investment loan),satisfactory,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,satisfactory (policy loan); less than satisfactory (investment loan),satisfactory (policy loan); less than satisfactory (investment loan),satisfactory,satisfactory,PVR,2011,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,satisfactory (policy loan); less than satisfactory (investment loan),satisfactory (policy loan); less than satisfactory (investment loan),satisfactory
30311,B,D,D,KGZ,Central and West Asia,Kyrgyz Republic,A,A,40,45.89,2001,2007,3.5,2.61,,,50,57.1,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2009,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,less than satisfactory
