id,regionname,countryshortname,status,last_stage_reached_name,project_name,sector1,sector2,pdo,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,supplementprojectflg,proj_last_upd_date,projectfinancialtype
P002084,Western and Central Africa,Nigeria,Closed,BANK APPROVED,WATER REHAB,"Water, Sanitation and Waste Management",Water Supply,A/ REHABILITATION OF URBAN WATER SUPPLY FACILITIES IN STATE WATERUTILITIES; B/ TA TO FMWR TO ASSIST IN COORDINATION OF SECTOR MANPOWERTRAINING AND DEVELOPMENT OF COMMON ACCOUNTING SYSTEMS,5/21/91,1991,1992,2001,5/21/91,8/27/92,6/30/01,4500000,256000000,0.02,0.98,260500000,306700000,256000000,0,4500000,260500000,Sector Investment and Maintenance Loan,C,Not Applicable,N,1/15/13,IBRD
P002238,Eastern and Southern Africa,Rwanda,Closed,BANK APPROVED,RW TRANSPORT SECTOR,Transportation,Roads and highways,HIGHWAY MAINTENANCE AND REHABILITATION (INCLUDING FEEDER ROADS) INTER NATIONAL TRANSPORT CORRIDORS IMPROVEMENTS AND POLICY AND INSTITUTIONAL MEASURES,5/22/90,1990,1991,2002,5/22/90,3/29/91,4/30/02,50800000,40000000,0.56,0.44,90800000,148900000,0,40000000,50800000,90800000,Sector Investment and Maintenance Loan,B,Not Applicable,N,3/11/21,Other
P002346,Western and Central Africa,Senegal,Closed,BANK APPROVED,SN-Water Sector (BD FY95),"Water, Sanitation and Waste Management",Sanitation,"IMPROVE SECTOR MANAGEMENT. STRENGTHEN FINANCIAL DISCIPLINE, REDUCESECTOR DEPENDANCE ON GOVT BUDGET, STRENGTHEN SEWERAGE SUBSECTOR,LIMIT WATER SHORTAGE IN GREATERDAKAR AREA. DESCRIPTION: A FIVE YEAR SLICE OF SECTOR INVESTMENT PLAN(EXPANSION AND REHAB OF GREATER DAKAR WS SYSTEM, GEN IMPO",2/23/95,1995,1996,2004,6/29/95,7/12/96,6/30/04,164900000,100000000,0.62,0.38,264900000,290100000,0,100000000,164900000,264900000,Specific Investment Loan,B,Not Applicable,N,1/15/13,Other
P002411,Western and Central Africa,Sierra Leone,Closed,BANK APPROVED,SL POWER REHAB,Energy and Extractives,Power,"REHABILITATION OF GENERATING AND DISTRIBUTION FACILITIES. UNILATERAL DECISION OF BANK TO KEEP CREDIT OPEN THROUGH 12/31/98. AS SOON AS SUSPENSION IS LIFTED, A FORMAL REQUEST FOR EXTENSION WILL BE SUBMITTED BY GOVERNMENT OF S.LEON.  WE HAVE BEEN DISCUSING AN EXTENSION OF 2 YEARS.     GABA 6/30/98",4/21/92,1992,1993,2002,4/21/92,5/24/93,6/30/02,36200000,21000000,0.63,0.37,57200000,69900000,0,21000000,36200000,57200000,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,Other
P002428,Western and Central Africa,Sierra Leone,Closed,BANK APPROVED,SL-URBAN WATER SUPPLY,"Water, Sanitation and Waste Management",Sanitation,"The objectives of the Project are to: (i) improv e water supply and sanitation services in Freetown; (ii) make water supply and sanitation services more acces sible to the urban poor; (iii) strengthen GVWC and other agencies  involved in the water supply and sanitation sector; (iv) encourage private sector participation in the said sector; and (v) assist in the preparation of water master plans and development programs for the major towns outside Freetown.In 2000, the project reallocated funds for emergency works throughout the country.",10/31/94,1995,1995,2005,4/11/95,8/14/95,12/31/05,0,36000000,0,1,36000000,46500000,0,36000000,0,36000000,Specific Investment Loan,B,Not Applicable,N,1/15/13,IDA
P002757,Eastern and Southern Africa,Tanzania,Closed,BANK APPROVED,TZ RAILWAYS RESTRUCTURI,Transportation,Roads and highways,IMPROVE OPERATIONAL AND FINANCIAL PERFORMANCE OF TANZANA RAILWAYS CORP,6/13/91,1991,1992,2002,6/13/91,4/30/92,12/31/02,89600000,76000000,0.54,0.46,165600000,213200000,0,76000000,89600000,165600000,Specific Investment Loan,B,Not Applicable,N,3/11/21,Other
P002929,Eastern and Southern Africa,Uganda,Closed,BANK APPROVED,UG POWER III,Energy and Extractives,Power,PROJECT MAIN COMPONENTS ARE LIKELY TO CONSIST OF AN EXTENSION OF THEOWEN FALLS HYDROELECTR. POWER STATION AND A SPILLWAY TO PROTECT THEEXISTING DAM;  RURAL ELECTRIFICATION; URBAN ELECTRIFICATION;REHABILITATION AND STRENGTHENING AND HYDRO STUDIES.,6/13/91,1991,1992,2001,6/13/91,10/8/92,12/31/01,155940000,158000000,0.5,0.5,313940000,333609984,0,158000000,114530000,272529984,Specific Investment Loan,A,Not Applicable,N,1/15/13,Other
P003609,East Asia and Pacific,China,Closed,BANK APPROVED,SICHUAN GAS DEV & CONSERVATION,Energy and Extractives,Oil and Gas,"PROJ WILL PROMOTE THE EFFICIENT DEVT & UTILIZATION OF GAS IN SICHUAN & INCLUDE DEVELOPMENT OF GAS FIELDS, UPGRADING GAS TRANSMISSION/ DISTRIBUTION, RESTRUCTURING OF OIL/GAS SECTOR, TA AND TRAINING.",10/31/94,1994,1994,2003,3/17/94,12/14/94,6/30/03,0,255000000,0,1,255000000,945200000,255000000,0,0,255000000,Specific Investment Loan,A,Not Applicable,N,11/17/14,IBRD
P003614,East Asia and Pacific,China,Closed,BANK APPROVED,CN-Guangzhou City Transport,Transportation,Roads and highways,The project development objective is to improve the accessibility of the city center of Guangzhou by promoting the efficient use of  the urban transport system in an environmentally sustainable way.The following outcomes and key performance indicators will be monitored to meet this development objective:- Improved level of service and reduced congestion on the City Center road network as a result of:1. completion of the Guangzhou Inner Ring Road (GIRR); and Guangfo Radial Road (GRR).2. traffic management.- Increased throughput (in terms of passengers) of public transport corridors within the City Center as a result of:1. improved management of bus priority lanes; and2. development of bus priority lanes.- Reduction in relative levels of air pollution as a result of:1. the traffic management measures; and2. improved coordination amongst responsible agencies.- Improved effectiveness and efficiency of road maintenance as a result of:1. introduction of modernized road maintenance equipment; and2. development of a road maintenance system.- Strengthened management capacity of municipal agencies responsible for urban transport as a result of:1. technical assistance support and on-the-job training during project implementation; and2. classroom training and study tours.,10/31/94,1998,1998,2007,5/29/98,9/23/98,12/31/07,0,180000000,0,1,180000000,550000000,180000000,0,0,180000000,Specific Investment Loan,A,Not Applicable,N,3/11/21,IBRD
P003619,East Asia and Pacific,China,Closed,BANK APPROVED,CN-2nd Inland Waterways,Transportation,Ports/Waterways,"The objective of the project is to provide more efficient and productive Inland Waterway Transport (IWT) services which would be more competitive than the current services. This would be achieved through reduction of unit cost and transit time by: (a) upgrading Inland Waterways infrastructure to allow navigation of larger vessels, (b) increasing shiplock capacity to reduce waiting time, and (c) increasing financial and organizational capacity of IWT agencies.",7/24/97,1998,1999,2006,5/29/98,3/16/99,12/31/06,166300000,123000000,0.57,0.43,289300000,289300000,123000000,0,0,123000000,Specific Investment Loan,A,Not Applicable,N,3/11/21,Other
P003642,East Asia and Pacific,China,Closed,BANK APPROVED,CN-ZHEJIANG POWER DEVT,Energy and Extractives,Power,"DEVELOPMENT OF POWER GENERATION, CO-GENERATION, TRANSMISSION AND DISTRIBUTION FACILITIES IN ZHEJIANG PROVINCE, CONSULTANT SERVICES AND TECHNICAL ASSISTANCE.",10/31/94,1995,1995,2003,2/28/95,8/23/95,12/31/03,150000000,400000000,0.27,0.73,550000000,1284099970,400000000,0,0,400000000,Specific Investment Loan,A,Not Applicable,N,1/15/13,IBRD
P003648,East Asia and Pacific,China,Closed,BANK APPROVED,Second Shanghai Sewerage Project,"Water, Sanitation and Waste Management",Sanitation,"ENHANCE ENVIRONMENTAL PROTECTION AND CLEAN UP THROUGH PROVISION OF TRUNK INFRASTRUCTURE AND CLEAN TECHNOLOGY ENHANCEMENT.  FINANCE WASTE WATER COLLECTION, TREATMENT, DISPOSAL AND SUPPORT IN-PLANT IMPROVEMENTS.",10/31/94,1996,1996,2004,3/21/96,8/9/96,6/30/04,0,250000000,0,1,250000000,511100000,250000000,0,0,250000000,Specific Investment Loan,A,Not Applicable,N,1/15/13,IBRD
P003653,East Asia and Pacific,China,Closed,BANK APPROVED,China Container Transport Project,Transportation,Ports/Waterways,"       The project is aimed at facilitating inland penetration of seaborne containers from gateway ports to inl and cities, thus contributing to reducing economic disparities between coastal and inland areas.",9/19/97,1999,1999,2005,3/16/99,12/24/99,6/30/05,0,52390000,0,1,52390000,159000000,52390000,0,0,52390000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IBRD
P003654,East Asia and Pacific,China,Closed,BANK APPROVED,CN-Nat Hwy2/Hunan-Guangdong,Transportation,Roads and highways,CONSTRUCTION OF PRIORITY SECTIONS OF NATIONAL HIGHWAYS IN HUNAN ANDGUANGDONG PROVINCES.,3/10/95,1996,1997,2004,12/17/96,11/24/97,12/31/04,0,400000000,0,1,400000000,1150000000,400000000,0,0,400000000,Specific Investment Loan,A,Not Applicable,N,3/11/21,IBRD
P003979,East Asia and Pacific,Indonesia,Closed,BANK APPROVED,RURAL ELECT II,Energy and Extractives,Power,"EXTENSION OF SUPPORT FOR PLN'S LEAST COST RURAL ELECTRIFICATION PROGRAM, RENEWABLE ENERGY GENERATION, DEVT OF ROLE OF MINISTRY OF COOPERATIVES, ENCOURAGING LOCAL & PRIVATE PARTICIPATION IN RURAL ELECTRIFICATION.",10/31/94,1995,1995,2000,2/28/95,7/19/95,3/31/00,0,398000000,0,1,398000000,841299970,398000000,0,0,398000000,Specific Investment Loan,B,Not Applicable,N,1/15/13,IBRD
P004026,East Asia and Pacific,Indonesia,Closed,BANK APPROVED,Railway Efficiency Project,Transportation,Railways,"RESTRUCTURING INSTITUTIONAL RELATIONSHIP BETWEEN GOI & STATE RAILWAYCOMPANY (PERUMKA) CONTINUING TA AND STAFF TRAINING AND UPGRADINGOF JKT-BANDUNG LINE.  UPGRADING OF TRACK MAINTENANCE PRACTICES, ANDOF LOCOMOTIVE WORKSHOP.FINANCING GAP OF $2.4M IS FROM LOAN PROCEEDS LN 3385 & LN 3913)",8/15/95,1996,1997,2009,11/21/96,6/13/97,7/31/09,0,105000000,0,1,105000000,207000000,105000000,0,0,105000000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IBRD
P004571,East Asia and Pacific,Philippines,Closed,BANK APPROVED,TRANSMISSION GRID REINFORCEMENT PROJECT,Energy and Extractives,Power,THE PROJECT WOULD STRENGTHEN NPC'S ROLE AS OPERATOR OF A NATIONALTRANSMISSION GRID INTERCONNECTING MAJOR LOAD AND GENERATION CENTERS.IT WOULD COMPRISE FOUR COMPONENTS (1) 500 KV REINFORCEMENT (2) LOADDISPATCH CENTER (3) SUBTRANSMISSION REINFORCEMENT (4) TECHICALASSISTANCE AND MFS FACILITIES FOR NPC PRIVATIZATION.,12/30/94,1996,1996,2003,4/4/96,11/12/96,12/31/03,289095960,184684048,0.61,0.39,473780008,473780000,184684048,0,117440000,302124032,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,Other
P004611,East Asia and Pacific,Philippines,Closed,BANK APPROVED,MANILA SECOND SEWERAGE PROJECT,"Water, Sanitation and Waste Management",Sanitation,THE OBJECTIVES ARE: (A) TO REDUCE THE POLLUTION LOAD DISCHARGED INTO INLAND WATERWAYS AND IN MANILA BAY; (B) TO IMPROVE THE ENV. CONDITIONS IN METRO MANILA; (C) TO REDUCE HEALTH HAZARDS ASSOCIATED WITH HUMAN EXPOSURE TO UNTREATED WASTEWATER; AND (D) TO IMPROVE PERFORMANCE & COORDINATION AMONG INSTITUTIONS INVOLVED IN THE SECTOR.,10/31/94,1996,1998,2005,5/21/96,3/17/98,6/30/05,0,36100000,0,1,36100000,44500000,36100000,0,0,36100000,Specific Investment Loan,A,Not Applicable,N,1/15/13,IBRD
P005215,"Middle East, North Africa, Afghanistan, and Pakistan","Iran, Islamic Republic of",Closed,BANK APPROVED,POWER SECTOR EFFICIENCY,Energy and Extractives,Power,"DECREASE LOAD SHEDDING BY INCREASING SUPPLY, AND ENERGY CONSERVATION.CORPORATIZATION AND PRIVATIZATION PROGRAM TO BE INTIATIED.",3/30/93,1993,1993,2000,3/30/93,7/27/93,12/31/00,0,165000000,0,1,165000000,295000000,165000000,0,0,165000000,Specific Investment Loan,B,Not Applicable,N,1/15/13,IBRD
P005284,"Middle East, North Africa, Afghanistan, and Pakistan",Jordan,Closed,BANK APPROVED,TRANSPORT III,Transportation,Roads and highways,CONTINUATION OF EFFORTS STARTED UNDER TRANSPORT II TO STRENGTHENSECTOR INSTITUTIONS AND POLICIES AND SUPPORT OF PRIORITY INVESTMENTS(E.G. TO FACILITATE INCREASED PHOSPHATE EXPORTS),3/11/93,1993,1994,2000,3/11/93,3/3/94,6/30/00,20400000,35000000,0.37,0.63,55400000,80000000,35000000,0,20400000,55400000,Specific Investment Loan,B,Not Applicable,N,3/11/21,Other
P005503,"Middle East, North Africa, Afghanistan, and Pakistan",Morocco,Closed,BANK APPROVED,Morocco Second Sewerage and Water Reuse Project,"Water, Sanitation and Waste Management",Sewerage,"THE PROJECT'S MAIN OBJECTIVES ARE TO (A) PROVIDE SAFE, RELIABLE SYSTEMS FOR THE TREATMENT AND DISPOSAL OF HUMAN AND INDUSTRIAL WASTE- WATER, (B) PROMOTE WASTE WATER REUSE, (C) CONTRIBUTE TO AN IMPROVED ENVIRONMENT, AND (D) DEVELOP MOROCCO'S SEWERAGE SECTOR INSTITUTIONAL CAPACITY. 10/01/01.  The Task Team Leader has been revised from Fathi Ben-Slimane to Alexander McPhail. 07/15/04.  The Task Team Leader has been revised from Maria Ines Fraile Ordonnez (UPI# 23058) to Pier Francesco Mantovani (UPI#265365) effective July 1, 2004.",10/31/94,1996,1996,2005,4/30/96,8/30/96,6/30/05,12000000,28000000,0.3,0.7,40000000,40000000,28000000,0,0,28000000,Specific Investment Loan,B,Not Applicable,N,1/15/13,IBRD
P005589,"Middle East, North Africa, Afghanistan, and Pakistan",Tunisia,Closed,BANK APPROVED,TN-SOLAR WATER HEATING,Energy and Extractives,Renewable energy,"CONSISTS OF A STUDY WHICH WILL EVALUATE THE APPLICATION OF SOLAR WATERHEATERS.  IT WILL FINANCE SOLAR COLLECTORS THROUGH TIME-DECREASINGCONTRIBUTIONS TO END USERS IN THE FORM OF GRANTS.  IT WILL SUPPORTSUBSTITUTION OF CONVENTION FUEL FOR WATER HEATING BY A SOLAR ENERGY;AND DEVELOP SOLAR WATER HEATING INDUSTRY.11/25/03.  All funds have been committed and expected to be fully disbursed by end-June 2004.  Project closing June 2004 and ICR to be completed by December 31, 2004.  Next mission in January 2004.05/03/2004.  With the retirement of the Task Team Leader (Rene Mendonca), the new TTL is Nourredine Bouzaher effective today.",11/2/94,1994,1995,2004,11/2/94,5/19/95,6/30/04,7400000,0,1,0,7400000,20900000,,,7400000,7400000,Specific Investment Loan,B,Not Applicable,N,1/15/13,Other
P005806,"Middle East, North Africa, Afghanistan, and Pakistan","Yemen, Republic of",Closed,BANK APPROVED,RY-MULTIMODE TRANSPORT,Transportation,Roads and highways,(1) UPGRADING AND CONSTRUCTION OF PRIORITY ROADS; (2) STUDY AND REFORM OF MANAGEMENT OF PORTS AND CIVIL AVIATION SUBSECTORS; (3) T/A TO PMAC AND CAMA; (4) EQUIPMENT FOR PORTS AND CIVIL AVIATION.,9/11/90,1990,1991,2001,9/11/90,3/21/91,6/30/01,0,30000000,0,1,30000000,46500000,0,30000000,0,30000000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IDA
P005968,Latin America and Caribbean,Argentina,Closed,BANK APPROVED,SEGBA V,Energy and Extractives,Power,REHABILITATION AND EXPANSION OF DISTRIBUTION NETWORKS IN BUENOS AIRES.,6/23/87,1987,1988,2002,6/23/87,9/30/88,9/14/02,10900000,257656768,0.04,0.96,268556768,1825600000,257656768,0,0,257656768,Specific Investment Loan,A,Not Applicable,N,8/14/15,Other
P005977,Latin America and Caribbean,Argentina,Closed,BANK APPROVED,WTR SUPPLY II,"Water, Sanitation and Waste Management",Water Supply,"WATER SUPPLY AND SEWERAGE SECTOR PROJECT TO SUPPORT SECTOR POLICY REFORMS AIMING AT: (I) IMPROVING SECTOR EFFICIENCY AND SERVICE QUALITY, AND (II) ATTAINING SECTOR INSTITUTIONS FINANCIAL VIABILITY.",12/18/90,1990,1992,2000,12/18/90,3/11/92,4/30/00,100000000,100000000,0.5,0.5,200000000,214000000,100000000,0,100000000,200000000,Specific Investment Loan,B,Not Applicable,N,1/15/13,Other
P006003,Latin America and Caribbean,Argentina,Closed,BANK APPROVED,RD MAINT & REHAB SCT,Transportation,Roads and highways,"AVOIDANCE OF (I) COSTLY ROAD REPAIR & RECONSTRUCTION, AND (II) UN-NECESSARY INCREASES IN VEHICLE OPERATNG COSTS.  IMPROVEMNT OF CRITICALBOTTLENECKS IN GRAIN EXPORT CORRIDORS.  IMPROVEMENT OF COORDINATION &COOPERATION BETWEEN AGENCIES (NATIONAL & PROVINCIAL).  IMPROVEMENT OFROAD ACTIVITIES FUNDING.",6/3/93,1993,1993,2000,6/3/93,12/30/93,6/30/00,0,340000000,0,1,340000000,756000000,340000000,0,0,340000000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IBRD
P006036,Latin America and Caribbean,Argentina,Closed,BANK APPROVED,YACYRETA II,Energy and Extractives,Power,COMPLETION OF YACYRETA WORKS AND OF INITIAL TRANSMISSION LINE.,9/29/92,1992,1993,2000,9/29/92,1/13/93,12/31/00,404600000,300000000,0.57,0.43,704600000,1490000000,300000000,0,130000000,430000000,Specific Investment Loan,A,Not Applicable,N,8/14/15,IBRD
P006492,Latin America and Caribbean,Brazil,Closed,BANK APPROVED,HYDROCARBN TRNSP/PRO,Energy and Extractives,Oil and Gas,ASSISTANCE TO PETROBRAS TO FINANCE GAS AND PETROLEUM PRODUCTS'PIPELINES AND PROCESING IMPROVEMENTS.,6/26/91,1991,1993,2001,6/26/91,1/22/93,12/31/01,0,260000000,0,1,260000000,591900030,260000000,0,0,260000000,Specific Investment Loan,A,Not Applicable,N,1/15/13,IBRD
P006549,Latin America and Caribbean,Brazil,Closed,BANK APPROVED,GAS SCTR DEV PROJECT,Energy and Extractives,Oil and Gas,"DEVELOPMENT OF THE GAS SECTOR IN BRAZIL, BASED ON PIPELINE TRANSPORTOF NATURAL GAS FROM BOLIVIA TO SOUTHEAST/SOUTH BRAZIL, PRIMARILY FORINDUSTRIAL USE.",5/12/97,1997,1999,2000,12/18/97,5/17/99,12/31/00,380000000,130000000,0.75,0.25,510000000,2086000000,130000000,0,380000000,510000000,Specific Investment Loan,A,Not Applicable,N,1/15/13,Other
P006661,Latin America and Caribbean,Chile,Closed,BANK APPROVED,CL THIRD RD SCTR,Transportation,Roads and highways,PROJECT TO ASSIST IN UPGRADING OF ROAD MAINTENANCE AND ROAD CONCESSIONSYSTEMS AND IN DEVELOPMENT OF ROAD SAFETY PROGRAM.,10/31/94,1994,1995,2002,12/22/94,10/2/95,12/31/02,0,120000000,0,1,120000000,3228900100,120000000,0,0,120000000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IBRD
P006887,Latin America and Caribbean,Colombia,Closed,BANK APPROVED,CO POWER MARKET DEVELOP. & ENERGY (TA),Energy and Extractives,Power,"TO SUPPORT THE GOVT'S PROGRAM TO RESTRUCT. THE ENERGY SECTOR. SPECIFICOBJECTIVES ARE: (A) IMPROVE EFFICIENCY IN SECTOR BY INTRODUCINGCOMPETITIONS AND CONTESTABILITY; (B) STRENGTHEN NEW REGULATORY FRAME-WORK AND DEVELOP REGULATORY CAPABILITIES,AND (C) PROMOTE PARTICIPATIONOF PRIVATE INVESTORS IN OWNERSHIP/OPERATION OF SECTOR ASSETS.",10/31/94,1995,1996,2008,11/16/95,6/26/96,12/31/08,0,249300000,0,1,249300000,249300000,249300000,0,0,249300000,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,IBRD
P007257,Latin America and Caribbean,Guyana,Closed,BANK APPROVED,Guyana Water Supply Technical Assistance and Rehabilitation Project,"Water, Sanitation and Waste Management",Water Supply,"PROJECT INCLUDES (A)INSTITUTIONAL COMPONENT TO STRENGTHEN NATIONAL/REGIONAL WATER SECTOR AGENCIES AND THEIR OPERATIONS, (B) HUMANRESOURCES DEVELOPMENT PROGRAM IN THE SECTDOR, (C) REHAB OF REGIONALFACILITIES, AND (D) ESTABLISHMENT OF AN IMPROVED OPERATIONAL ANDMAINTENANCE PROGRAM.",12/21/93,1993,1994,2004,12/21/93,4/22/94,3/27/04,29140000,17500000,0.62,0.38,46640000,55000000,0,17500000,29140000,46640000,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,Other
