projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance,year_for_plr,totalcost_initial_adj1_plr,include,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,adb_funding_ratio,totalcost_initial_adj,totalcost_final_adj,project_size
26522,A,D,D,SRI,South Asia,Sri Lanka,B,B1,180.0,185.97,1999,2013,7.1,6.52,127.7,497.81,295.9,906.47,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,1999,1148.89,True,4738.7,2013,2726.87,3449.38,0.6083136194660359,4738.7,3449.38,mega
27013,D,D,D,PHI,Southeast Asia,Philippines,C,B,37.0,18.59,1996,2004,5.67,2.47,,,57.4,31.35,False,Water,Urban water supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1996,135.01,True,339.2,2004,115.1,182.02,0.6445993031358885,339.2,182.02,small
27132,D,D,D,IND,South Asia,India,B,A,105.0,96.38,1995,2004,6.55,2.44,,,132.0,123.48,False,Water,"Urban policy, institutional and capacity development",na,na,successful,highly relevant,nr,nr,nr,highly satisfactory,highly satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,1995,555.43,True,2052.92,2004,530.48,1262.0,0.7954545454545454,2052.92,1262.0,mega
27182,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,20.8,4.68,2001,2008,6.65,0.47,,,30.0,6.92,False,Water,Urban flood protection,Transportation,Road transport (non-urban),unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,unsuccessful,less than relevant,less than effective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2011,unsuccessful,less than relevant,less than effective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2001,130.03,True,467.07,2008,24.13,54.84,0.6933333333333334,467.07,54.84,small
27250,D,D,D,PHI,Southeast Asia,Philippines,C,B,50.0,24.8,1996,2004,5.75,2.46,,,83.0,50.07,False,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1996,195.22,True,490.47,2004,183.83,290.71,0.6024096385542169,490.47,290.71,small
27358,D,D,D,INO,Southeast Asia,Indonesia,C,B,116.0,74.54,1997,2007,5.81,3.51,,,198.2,141.7,False,Water,"Urban policy, institutional and capacity development",na,na,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than satisfactory,PVR,2009,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,1997,955.74,True,9878.15,2007,551.53,1175.97,0.5852674066599395,9878.15,1175.97,mega
27385,D,D,D,PRC,East Asia,China,C,A,200.0,141.8,1997,2003,5.75,,,,795.5,731.78,False,Transportation,Rail transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1997,2322.93,True,4470.14,2003,2243.6,4088.15,0.251414204902577,4470.14,4088.15,mega
27399,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,70.0,5.08,1999,2008,6.73,1.59,1.8,1.8,100.0,5.08,False,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,inefficient,nr,less than satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na,1999,507.1,True,2140.22,2008,16.65,31.39,0.7,2140.22,31.39,mega
27405,D,D,D,VIE,Southeast Asia,Viet Nam,C,A,69.0,59.27,1997,2006,5.34,3.75,,,92.0,71.97,False,Water,Urban water supply,na,na,successful,highly relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,highly relevant,highly effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory,1997,438.66,True,2130.54,2006,297.35,753.94,0.75,2130.54,753.94,mega
27511,D,D,D,LAO,Southeast Asia,Lao People's Democratic Republic,A,A,46.0,45.55,1997,2006,4.81,3.83,4.2,4.38,64.5,60.74,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1997,290.58,True,4900.82,2006,291.09,534.51,0.7131782945736435,4900.82,534.51,mega
28025,B,D,D,BAN,South Asia,Bangladesh,B,B1,157.0,125.21,1999,2010,4.53,5.96,,,300.0,241.3,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,less than satisfactory,PVR,2011,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,1999,922.76,True,2835.06,2010,753.65,1296.32,0.5233333333333333,2835.06,1296.32,mega
28079,D,D,D,BHU,South Asia,Bhutan,A,A,5.7,5.84,1998,2005,5.92,1.15,,,5.7,5.84,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,nr,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1998,23.19,True,69.71,2005,20.32,42.02,1.0,69.71,42.02,small
28153,D,D,D,SRI,South Asia,Sri Lanka,B,A,75.0,83.15,1997,2008,7.65,3.14,46.0,69.7,121.0,152.8,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,satisfactory,PVR,2010,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory,1997,435.19,True,2041.98,2008,478.84,839.82,0.6198347107438017,2041.98,839.82,mega
28163,B,D,D,SRI,South Asia,Sri Lanka,B,A,70.0,66.92,1998,2007,6.77,2.49,,,100.0,103.0,True,Water,"Urban policy, institutional and capacity development",na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1998,363.84,True,1563.16,2007,376.17,767.47,0.7,1563.16,767.47,mega
28187,D,D,D,VIE,Southeast Asia,Viet Nam,C,A,100.0,49.24,1997,2005,5.1,2.41,,,140.0,90.26,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1997,667.52,True,3242.1,2005,389.43,1072.03,0.7142857142857143,3242.1,1072.03,mega
28191,B,D,D,CAM,Southeast Asia,Cambodia,A,A,18.6,19.39,2000,2007,4.07,2.26,5.55,5.59,24.17,24.98,True,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2000,102.38,True,241.44,2007,87.61,136.89,0.7695490277203144,241.44,136.89,small
28212,A,D,D,PRC,East Asia,China,C,B2,144.0,135.95,2002,2013,7.21,3.53,,,774.9,901.9,True,Energy,Large hydropower generation,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2015,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,2002,2391.36,True,4472.54,2013,1543.13,1730.63,0.18583042973286876,4472.54,1730.63,mega
28261,B,C,C,FIJ,Pacific,Fiji,B,B,66.8,66.04,1997,2014,16.36,0.38,,,162.6,168.83,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2016,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1997,323.75,True,743.79,2014,341.66,376.59,0.4108241082410824,743.79,376.59,major
28270,D,D,D,PHI,Southeast Asia,Philippines,C,B,93.0,12.16,1997,2005,5.71,2.27,29.0,,167.0,25.68,False,Transportation,Air transport,na,na,unsuccessful,highly relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,satisfactory,PVR,2008,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,1997,422.71,True,999.45,2005,90.25,134.76,0.5568862275449101,999.45,134.76,major
28310,B,D,D,KIR,Pacific,Kiribati,A,A,10.24,9.94,1998,2008,5.07,4.28,,,12.8,12.49,False,Water,Urban water supply,na,na,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,less than satisfactory,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2008,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1998,23.32,True,36.08,2008,15.37,17.08,0.7999999999999999,36.08,17.08,small
28314,B,D,D,SAM,Pacific,Samoa,A,A,13.02,13.48,2003,2011,5.59,1.86,,,17.81,17.91,True,Water,Urban sanitation,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na,2003,37.56,True,57.98,2011,25.75,30.25,0.7310499719258844,57.98,30.25,small
28315,B,D,D,VIE,Southeast Asia,Viet Nam,C,B1,60.0,69.14,2001,2011,6.55,3.05,11.0,12.46,98.0,104.8,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2001,517.15,True,2056.75,2011,310.82,405.45,0.6122448979591837,2056.75,405.45,mega
28331,B,D,D,SRI,South Asia,Sri Lanka,B,B1,80.0,94.74,1998,2009,6.56,3.77,16.0,22.4,123.3,183.1,True,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2010,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,1998,448.62,True,1927.4,2009,578.55,958.34,0.6488240064882401,1927.4,958.34,mega
28338,D,D,D,CAM,Southeast Asia,Cambodia,A,A,68.0,67.61,1999,2006,4.36,2.51,6.86,6.85,88.1,86.96,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1999,344.67,True,778.02,2006,326.22,553.54,0.7718501702610671,778.02,553.54,major
28388,D,D,D,PRC,East Asia,China,C,B2,102.0,99.04,1999,2005,4.57,1.42,23.04,6.71,183.0,182.04,False,Energy,Energy efficiency and conservation,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1999,558.64,True,1097.36,2005,527.2,865.43,0.5573770491803278,1097.36,865.43,mega
29041,B,D,D,BAN,South Asia,Bangladesh,B,B1,60.0,65.1,2002,2010,7.1,0.94,,,87.0,87.23,True,Water,"Urban policy, institutional and capacity development",na,na,successful,highly relevant,highly effective,highly efficient,less than likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2013,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2002,305.86,True,846.75,2010,272.44,468.61,0.6896551724137931,846.75,468.61,major
29070,A,D,D,PRC,East Asia,China,C,B2,120.0,119.74,2000,2008,4.86,2.33,,,345.0,333.2,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,2000,1054.91,True,2029.59,2008,729.38,988.94,0.34782608695652173,2029.59,988.94,mega
29082,D,D,D,PHI,Southeast Asia,Philippines,C,C,24.3,3.33,1998,2005,6.55,0.36,,,41.8,7.2,False,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1998,134.41,True,287.71,2005,25.3,37.78,0.5813397129186604,287.71,37.78,small
29120,B,D,D,IND,South Asia,India,B,B2,250.0,250.0,1998,2009,6.58,3.95,,,362.0,445.95,True,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1998,1621.18,True,4843.33,2009,1582.92,2631.22,0.6906077348066298,4843.33,2631.22,mega
29242,D,D,D,BHU,South Asia,Bhutan,A,A,10.0,9.25,1999,2006,4.35,1.79,,,12.5,11.6,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1999,50.7,True,143.56,2006,40.11,77.83,0.8,143.56,77.83,small
29250,D,D,D,IND,South Asia,India,B,B2,180.0,149.75,2000,2006,4.18,1.29,,,280.0,246.79,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,2000,1322.28,True,3697.96,2006,991.46,2060.05,0.6428571428571429,3697.96,2060.05,mega
29282,B,D,D,CAM,Southeast Asia,Cambodia,A,A,26.26,27.53,1999,2007,6.04,1.95,,0.23,34.54,46.15,True,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PPER,2009,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1999,135.13,True,305.03,2007,161.85,252.88,0.7602779386218877,305.03,252.88,small
29426,D,D,D,PRC,East Asia,China,C,B2,250.0,241.06,1999,2006,4.75,1.73,48.2,37.2,726.1,617.5,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1999,2216.55,True,4354.08,2006,1724.47,2721.42,0.3443051921222972,4354.08,2721.42,mega
29466,B,D,D,IND,South Asia,India,B,B2,330.0,241.77,2000,2013,10.04,2.87,,,162.6,168.83,True,Water,Urban sewerage,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2016,na,na,na,na,na,na,na,na,2000,767.87,True,2147.47,2013,590.83,713.02,2.029520295202952,2147.47,713.02,mega
29471,B,D,D,NEP,South Asia,Nepal,A,A,50.0,38.16,1999,2008,5.53,3.47,10.0,6.1,94.5,57.1,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na,1999,520.47,True,2260.5,2008,238.58,663.8,0.5291005291005291,2260.5,663.8,mega
29472,B,D,C,NEP,South Asia,Nepal,A,A,46.0,45.06,2001,2010,6.05,2.03,9.6,8.4,69.5,66.411,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2012,na,na,na,na,na,na,na,na,2001,400.75,True,1611.05,2010,242.74,506.03,0.6618705035971223,1611.05,506.03,mega
29473,D,D,D,IND,South Asia,India,B,B2,350.0,327.49,2001,2007,4.57,0.76,,,468.9,260.05,False,Energy,Energy sector development and institutional reform,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2008,less than successful,highly relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,2001,2290.1,True,6205.09,2007,892.73,1734.46,0.7464278097675411,6205.09,1734.46,mega
29566,B,D,D,MON,East Asia,Mongolia,B,A,25.0,21.73,1999,2007,5.34,2.07,,,33.5,30.2,False,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1999,273.56,True,2550.64,2007,123.9,417.33,0.746268656716418,2550.64,417.33,mega
29629,D,D,D,MON,East Asia,Mongolia,B,A,40.0,40.99,1997,2007,5.76,3.67,3.0,,55.7,48.12,False,Energy,Energy utility services,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2009,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1997,372.84,True,3780.13,2007,197.43,665.0,0.718132854578097,3780.13,665.0,mega
29694,B,D,D,IND,South Asia,India,B,B2,350.0,259.06,2000,2007,2.05,4.22,,,460.2,300.24,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2009,na,na,na,na,na,na,na,na,2000,2173.26,True,6077.86,2007,1030.7,2002.52,0.7605388961321164,6077.86,2002.52,mega
30022,D,D,D,BAN,South Asia,Bangladesh,B,B1,115.0,89.0,1999,2006,4.88,1.99,19.4,12.15,214.4,160.86,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,1999,659.47,True,2026.14,2006,601.14,1358.35,0.5363805970149254,2026.14,1358.35,mega
