id,regionname,countryshortname,project_name,sector1,sector2,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,duration_years,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,supplementprojectflg,projectfinancialtype
P104266,"Middle East, North Africa, Afghanistan, and Pakistan",Tunisia,Energy Efficiency,Energy and Extractives,Renewable Energy Biomass,2008-05-19,2009,2010,2016,2009-06-30,2010-02-04,2016-01-31,6.6, -   ," 55,000,000 ", -   , 1.00 ," 55,000,000 "," 55,000,000 "," 55,000,000 ", -   , -   ," 55,000,000 ",Investment Project Financing,F,N,IBRD
P104482,East Asia and Pacific,Indonesia,Pontianak - LFG Recovery Project,"Water, Sanitation and Waste Management",Waste Management,2007-05-29,2007,,2013,2007-06-15,,2013-07-01,6.0," 3,860,000 ", -   , 1.00 , -   ," 3,860,000 "," 3,860,000 ",  ,  ," 3,860,000 "," 3,860,000 ",,,N,Other
P104528,East Asia and Pacific,Viet Nam,Vietnam Rural Water (East Meets West),"Water, Sanitation and Waste Management",Water Supply,2007-10-04,2007,2007,2012,2007-11-30,2007-11-30,2012-06-30,4.6," 3,000,000 ", -   , 1.00 , -   ," 3,000,000 "," 3,000,000 ",  ,  ," 3,000,000 "," 3,000,000 ",Specific Investment Loan,B,N,Grants
P104662,Western and Central Africa,Sierra Leone,Freetown Water Supply Rehabilitation,"Water, Sanitation and Waste Management",Water Supply,2007-01-30,2007,2007,2010,2007-01-30,2007-11-28,2010-10-15,3.7," 8,228,295 ", -   , 1.00 , -   ," 8,228,295 "," 8,228,295 ",  ,  ," 8,228,295 "," 8,228,295 ",Specific Investment Loan,C,N,Grants
P104943,Eastern and Southern Africa,Uganda,OBA in Kampala - Water Connections for the Poor,"Water, Sanitation and Waste Management",Water Supply,2008-06-09,2008,2008,2013,2008-05-01,2008-04-30,2013-12-01,5.6," 3,000,000 ", -   , 1.00 , -   ," 3,000,000 "," 3,000,000 ",  ,  ," 3,000,000 "," 3,000,000 ",Investment Project Financing,B,N,Grants
P104945,Eastern and Southern Africa,Mozambique,Mozambique Water Private Sector Contracts - OBA for coverage expansion,"Water, Sanitation and Waste Management",Water Supply,2007-06-19,2007,2008,2014,2007-06-19,2008-07-01,2014-06-30,7.0," 5,000,000 ", -   , 1.00 , -   ," 5,000,000 "," 5,000,000 ",  ,  ," 5,000,000 "," 5,000,000 ",Investment Project Financing,C,N,Grants
P104960,"Middle East, North Africa, Afghanistan, and Pakistan",Jordan,JO-AMMAN SOLID WASTE MANAGEMENT AND CARBON FINANCE,"Water, Sanitation and Waste Management",Waste Management,2008-02-12,2008,2009,2015,2008-09-30,2009-03-03,2015-06-30,6.8," 15,500,000 "," 25,000,000 ", 0.38 , 0.62 ," 40,500,000 "," 40,500,000 "," 25,000,000 ", -   , -   ," 25,000,000 ",Investment Project Financing,A,N,IBRD
P105027,Latin America and Caribbean,St. Lucia,Water Supply Infrastructure Improvement Additional Financing,"Water, Sanitation and Waste Management",Water Supply,2007-02-20,2007,,2009,2007-04-10,,2009-01-15,1.8, -   ," 1,840,000 ", -   , 1.00 ," 1,840,000 "," 1,840,000 ", -   ," 1,840,000 ", -   ," 1,840,000 ",Specific Investment Loan,B,Y,IDA
P105044,Eastern and Southern Africa,Madagascar,Additional Financing for Transport Infrastructure Investment Project,Transportation,Railways,2007-04-27,2007,,2012,2007-05-22,,2012-06-30,5.1," 2,103,471 "," 15,600,000 ", 0.12 , 0.88 ," 17,703,471 "," 17,703,472 ", -   ," 15,600,000 ", -   ," 15,600,000 ",Adaptable Program Loan,A,Y,Other
P105238,Europe and Central Asia,Croatia,CROATIA RIJEKA GATEWAY - ADDITIONAL FINANCING,Transportation,Ports/Waterways,2007-04-05,2007,,2012,2007-05-30,,2012-09-30,5.3," 6,470,000 "," 48,030,000 ", 0.12 , 0.88 ," 54,500,000 "," 54,500,000 "," 48,030,000 ", -   , -   ," 48,030,000 ",Specific Investment Loan,A,Y,Other
P105329,East Asia and Pacific,Cambodia,GMS Power Trade (Cambodia) Project,Energy and Extractives,Energy Transmission and Distribution,2007-02-28,2007,2008,2011,2007-06-05,2008-02-04,2011-12-31,4.6," 1,500,000 "," 18,500,000 ", 0.08 , 0.93 ," 20,000,000 "," 20,000,000 ", -   ," 18,500,000 ", -   ," 18,500,000 ",Investment Project Financing,B,N,Other
P105331,East Asia and Pacific,Lao People's Democratic Republic,GMS Power Trade (Laos) Project,Energy and Extractives,Renewable Energy Hydro,2007-02-26,2007,2007,2015,2007-06-05,2007-12-12,2015-02-28,7.7," 3,800,000 "," 10,200,000 ", 0.27 , 0.73 ," 14,000,000 "," 14,000,000 ", -   ," 10,200,000 ", -   ," 10,200,000 ",Investment Project Financing,B,N,IDA
P105389,Latin America and Caribbean,Brazil,BR Nova Gerar Carbon Finance adn Solid Waste Management Project II,"Water, Sanitation and Waste Management",Waste Management,2008-03-27,2008,2011,2015,2008-12-03,2011-02-22,2015-06-30,6.6," 10,000,000 ", -   , 1.00 , -   ," 10,000,000 "," 10,000,000 ",  ,  ," 10,000,000 "," 10,000,000 ",,,,Grants
P105590,East Asia and Pacific,Indonesia,GPOBA W3 - Expanding Piped Water Supply to Surabaya's Urban Poor,"Water, Sanitation and Waste Management",Water Supply,2007-08-03,2009,2009,2012,2009-02-11,2009-06-24,2012-12-31,3.9," 3,715,000 ", -   , 1.00 , -   ," 3,715,000 "," 3,715,000 ",  ,  ," 2,715,000 "," 2,715,000 ",Specific Investment Loan,U,N,Other
P105617,Western and Central Africa,Ghana,Solar PV Systems to Increase Access to Electricity Services in Ghana,Energy and Extractives,Renewable Energy Biomass,2008-10-10,2008,2009,2014,2008-10-10,2009-01-07,2014-09-30,6.0," 4,350,000 ", -   , 1.00 , -   ," 4,350,000 "," 4,350,000 ",  ,  ," 4,350,000 "," 4,350,000 ",Investment Project Financing,C,N,Grants
P105651,Eastern and Southern Africa,Ethiopia,"Ethiopia Electricity Access Rural Expansion Project, Phase II - GPOBA",Energy and Extractives,Power,2008-11-11,2008,2009,2013,2008-11-11,2009-05-29,2013-06-30,4.6," 8,000,000 ", -   , 1.00 , -   ," 8,000,000 "," 8,000,000 ",  ,  ," 8,000,000 "," 8,000,000 ",Investment Project Financing,B,N,Grants
P105654,Eastern and Southern Africa,Eastern and Southern Africa,Additional Financing for Southern Africa Power Market Project (APL1),Energy and Extractives,Energy Transmission and Distribution,2009-06-30,2009,,2016,2009-06-30,,2016-09-30,7.3," 71,880,000 "," 180,620,000 ", 0.28 , 0.72 ," 252,500,000 "," 252,500,000 ", -   ," 180,620,000 "," 47,020,000 "," 227,640,000 ",Adaptable Program Loan,A,Y,IDA
P105727,Europe and Central Asia,Tajikistan,Pamir Additional Financing,Energy and Extractives,Renewable Energy Hydro,2008-05-01,2008,,2010,2008-07-31,,2010-12-31,2.4," 5,300,000 "," 2,500,000 ", 0.68 , 0.32 ," 7,800,000 "," 7,800,000 ", -   ," 2,500,000 ", -   ," 2,500,000 ",Specific Investment Loan,B,Y,Other
P105870,Europe and Central Asia,Kosovo,Kosovo Energy Sector Clean-up of Gasification Site,Energy and Extractives,Mining,2007-05-07,2007,,2016,2007-06-28,,2016-08-31,9.2," 1,120,000 "," 5,000,000 ", 0.18 , 0.82 ," 6,120,000 "," 6,120,000 ", -   ," 5,000,000 "," 1,120,000 "," 6,120,000 ",Specific Investment Loan,A,Y,IDA
P105959,Latin America and Caribbean,Brazil,BR Sao Paulo Metro Line 4 - Additional Financing,Transportation,Urban Transport,2007-05-01,2008,,2010,2008-04-08,,2010-09-12,2.4," 95,000,000 "," 95,000,000 ", 0.50 , 0.50 ," 190,000,000 "," 190,000,000 "," 95,000,000 ", -   ," 95,000,000 "," 190,000,000 ",Specific Investment Loan,A,Y,IBRD
P106013,Latin America and Caribbean,Colombia,Colombia: Extractive Industries Transparency Initiative Implementation,Energy and Extractives,Oil and Gas,2015-03-09,2015,2015,2017,2015-03-09,2015-08-27,2017-12-15,2.8," 500,000 ", -   , 1.00 , -   ," 500,000 "," 1,000,000 ",  ,  ," 500,000 "," 500,000 ",Investment Project Financing,C,N,Grants
P106017,"Middle East, North Africa, Afghanistan, and Pakistan","Yemen, Republic of",Yemen: Extractive Industries Transparency Initiative Implementation,Energy and Extractives,Oil and Gas,2008-04-03,2008,2008,2013,2008-04-03,2008-03-04,2013-10-22,5.6," 350,000 ", -   , 1.00 , -   ," 350,000 "," 350,000 ",  ,  ," 350,000 "," 350,000 ",Investment Project Financing,C,N,Grants
P106050,East Asia and Pacific,Indonesia,Indonesia: Extractive Industries Transparency,Energy and Extractives,Renewable Energy Biomass,2011-03-17,2011,2011,2014,2011-03-17,2011-06-22,2014-06-30,3.3," 1,050,000 ", -   , 1.00 , -   ," 1,050,000 "," 1,050,000 ",  ,  ," 1,050,000 "," 1,050,000 ",Investment Project Financing,C,N,Grants
P106135,South Asia,Bangladesh,Grameen Shakti Solar Homes Project,Energy and Extractives,Renewable Energy Biomass,2008-01-08,2007,2007,2017,2007-12-17,2007-12-19,2017-06-30,9.5," 428,000,000 ", -   , 1.00 , -   ," 428,000,000 "," 428,000,000 ",  ,  ," 9,000,000 "," 9,000,000 ",,,Y,Other
P106200,Eastern and Southern Africa,Kenya,Northern Corridor Additional Financing,Transportation,Rural and Inter-Urban Roads,2008-03-26,2009,,2015,2009-04-02,,2015-12-31,6.8," 117,900,000 "," 253,000,000 ", 0.32 , 0.68 ," 370,900,000 "," 370,900,000 ", -   ," 253,000,000 ", -   ," 253,000,000 ",Specific Investment Loan,B,Y,IDA
P106390,Latin America and Caribbean,Brazil,Sao Paulo Metro Line 4 (PHASE 2),Transportation,Urban Transport,2008-10-23,2010,2010,2018,2010-05-04,2010-11-15,2018-02-28,7.8," 470,900,000 "," 130,000,000 ", 0.78 , 0.22 ," 600,900,000 "," 600,899,970 "," 130,000,000 ", -   ," 130,000,000 "," 260,000,000 ",Investment Project Financing,A,N,Other
P106427,Latin America and Caribbean,Brazil,Rio de Janeiro Mass Transit - Additional Financing,Transportation,Urban Transport,2007-07-10,2008,,2009,2008-02-12,,2009-04-06,1.1, -   ," 44,000,000 ", -   , 1.00 ," 44,000,000 "," 44,000,000 "," 44,000,000 ", -   , -   ," 44,000,000 ",Specific Investment Loan,B,Y,IBRD
P106635,Eastern and Southern Africa,Kenya,"CF Kengen, Kiambere, Tana, Eburru",Energy and Extractives,Renewable Energy Hydro,2007-06-06,2007,2007,2019,2007-08-20,2007-07-30,2019-06-30,11.9," 5,688,900 ", -   , 1.00 , -   ," 5,688,900 "," 5,688,900 ",  ,  ," 5,688,900 "," 5,688,900 ",Investment Project Financing,B,N,Grants
P106652,"Middle East, North Africa, Afghanistan, and Pakistan",Pakistan,Pakistan: Lahore Composting project,"Water, Sanitation and Waste Management",Waste Management,2008-06-18,2008,2008,2016,2008-08-27,2008-08-27,2016-07-26,7.9," 5,524,000 ", -   , 1.00 , -   ," 5,524,000 "," 5,524,000 ",  ,  ," 5,524,000 "," 5,524,000 ",,,N,Grants
P106663,Latin America and Caribbean,Brazil,Sao Paulo Feeder Roads Project,Transportation,Rural and Inter-Urban Roads,2007-11-01,2009,2009,2015,2009-07-09,2009-10-28,2015-06-30,6.0," 429,769,984 "," 166,650,000 ", 0.72 , 0.28 ," 596,419,984 "," 596,419,970 "," 166,650,000 ", -   , -   ," 166,650,000 ",Investment Project Financing,B,N,IBRD
P106703,Latin America and Caribbean,Brazil,BR Sao Paulo Water Recovery Project - REAGUA,"Water, Sanitation and Waste Management",Sanitation,2008-10-30,2010,2010,2017,2010-05-04,2010-12-08,2017-05-30,7.1," 42,997,000 "," 64,496,000 ", 0.40 , 0.60 ," 107,493,000 "," 107,493,000 "," 64,496,000 ", -   , -   ," 64,496,000 ",Investment Project Financing,B,N,Other
P106775,East Asia and Pacific,Philippines,Manila Water Supply,"Water, Sanitation and Waste Management",Water Supply,2007-10-19,2007,2007,2013,2007-10-19,2007-10-19,2013-05-31,5.6," 1,000,000 ", -   , 1.00 , -   ," 1,000,000 "," 1,000,000 ",  ,  ," 1,000,000 "," 1,000,000 ",Investment Project Financing,B,N,Grants
P106794,Western and Central Africa,Cameroon,CAMEROON WATER AFFERMAGE - OBA for Coverage Expansion,"Water, Sanitation and Waste Management",Water Supply,2008-05-01,2008,2009,2013,2008-05-01,2009-02-16,2013-10-31,5.5," 11,500,000 ", -   , 1.00 , -   ," 11,500,000 "," 11,500,000 ",  ,  ," 5,000,000 "," 5,000,000 ",Investment Project Financing,B,N,Grants
P106857,East Asia and Pacific,Malaysia,MY-CF-Kota Kinabalu Composting Project,"Water, Sanitation and Waste Management",Waste Management,2007-09-26,2008,2008,2016,2008-06-30,2008-06-26,2016-12-31,8.5," 9,200,000 ", -   , 1.00 , -   ," 9,200,000 "," 9,200,000 ",  ,  ," 9,200,000 "," 9,200,000 ",,,N,Grants
P106899,Europe and Central Asia,Montenegro,Energy Community of South East Europe APL 3 - Montenegro Project,Energy and Extractives,Renewable Energy Hydro,2007-07-06,2007,2008,2013,2007-07-06,2008-01-28,2013-09-30,6.2," 7,500,000 "," 9,000,000 ", 0.45 , 0.55 ," 16,500,000 "," 16,500,000 ", -   ," 9,000,000 ", -   ," 9,000,000 ",Investment Project Financing,B,N,Other
P106909,Western and Central Africa,Burkina Faso,Urban Water Sector Project,"Water, Sanitation and Waste Management",Sanitation,2009-01-14,2009,2009,2019,2009-05-28,2009-10-05,2019-12-31,10.6," 12,920,000 "," 80,000,000 ", 0.14 , 0.86 ," 92,920,000 "," 92,920,000 ", -   ," 80,000,000 ", -   ," 80,000,000 ",Investment Project Financing,B,N,IDA
P107101,"Middle East, North Africa, Afghanistan, and Pakistan",Afghanistan,Kabul Urban Roads Improvement Project,Transportation,Roads and highways,2007-07-09,2008,2009,2011,2008-12-19,2009-02-25,2011-12-31,3.0," 18,000,000 ", -   , 1.00 , -   ," 18,000,000 "," 18,000,000 ",  ,  ," 18,000,000 "," 18,000,000 ",Specific Investment Loan,B,N,Grants
P107159,Latin America and Caribbean,Mexico,MX Urban Transport Transformation Progr,Transportation,Urban Transport,2008-12-24,2010,2010,2019,2010-03-25,2010-12-15,2019-04-30,9.1," 2,544,000,060 "," 150,000,000 ", 0.94 , 0.06 ," 2,694,000,060 "," 2,694,000,130 "," 150,000,000 ", -   ," 200,000,000 "," 350,000,000 ",Investment Project Financing,A,N,Other
P107410,"Middle East, North Africa, Afghanistan, and Pakistan",Jordan,JO-Amman Landfill Gas Recovery,"Water, Sanitation and Waste Management",Waste Management,2008-07-03,2009,2009,2015,2009-01-15,2009-01-15,2015-06-30,6.5," 15,000,000 ", -   , 1.00 , -   ," 15,000,000 "," 15,000,000 ",  ,  ," 15,000,000 "," 15,000,000 ",,,Y,Grants
P107559,East Asia and Pacific,China,Guiyang Guangzhou Railway,Transportation,Railways,2009-03-05,2009,2009,2016,2009-04-16,2009-08-26,2016-12-31,7.7," 12,227,000,300 "," 300,000,000 ", 0.98 , 0.02 ," 12,527,000,300 "," 12,526,999,600 "," 300,000,000 ", -   , -   ," 300,000,000 ",Investment Project Financing,A,N,IBRD
P107610,Europe and Central Asia,Georgia,Second East West Highway Improvement Additional Financing,Transportation,Rural and Inter-Urban Roads,2008-09-23,2008,,2011,2008-10-30,,2011-10-07,2.9," 10,000,000 "," 20,000,000 ", 0.33 , 0.67 ," 30,000,000 "," 30,000,000 ", -   ," 20,000,000 ", -   ," 20,000,000 ",Specific Investment Loan,A,Y,Other
P107614,Europe and Central Asia,Armenia,ADDITIONAL FINANCING FOR THE MUNICIPAL WATER AND WASTEWATER PROJECT,"Water, Sanitation and Waste Management",Sanitation,2008-08-01,2008,,2012,2008-10-30,,2012-02-28,3.3," 2,000,000 "," 20,000,000 ", 0.09 , 0.91 ," 22,000,000 "," 22,000,000 ", -   ," 20,000,000 ", -   ," 20,000,000 ",Specific Investment Loan,F,Y,IDA
P107649,South Asia,India,Second Karnataka State Highway Improvement,Transportation,Rural and Inter-Urban Roads,2010-11-15,2011,2008,2018,2011-03-24,2008-07-17,2018-12-28,7.8," 655,000,000 "," 350,000,000 ", 0.65 , 0.35 ," 1,005,000,000 "," 1,005,000,000 "," 350,000,000 ", -   , -   ," 350,000,000 ",Investment Project Financing,A,N,Other
P107847,South Asia,Sri Lanka,Provincial Roads,Transportation,Rural and Inter-Urban Roads,2009-04-08,2009,2010,2015,2009-12-17,2010-04-02,2015-03-31,5.3, -   ," 105,000,000 ", -   , 1.00 ," 105,000,000 "," 105,000,000 ", -   ," 105,000,000 ", -   ," 105,000,000 ",Investment Project Financing,B,N,IDA
P107940,Western and Central Africa,Mauritania,MR-Banda Gas to Power Guarantee,Energy and Extractives,Oil and Gas,2014-05-29,2014,,2018,2014-05-29,,2018-05-11,4.0," 130,000,000 ", -   , 1.00 , -   ," 130,000,000 "," 130,000,000 ",  ,  ,  ,  ,Investment Project Financing,Not Available,N,IDA
P107998,Europe and Central Asia,Bosnia and Herzegovina,Second Solid Waste Management,"Water, Sanitation and Waste Management",Waste Management,2008-02-07,2008,2009,2017,2008-11-25,2009-10-23,2017-10-31,8.9," 3,500,000 "," 40,000,000 ", 0.08 , 0.92 ," 43,500,000 "," 43,500,000 "," 25,000,000 "," 15,000,000 ", -   ," 40,000,000 ",Investment Project Financing,B,N,IBRD
P108174,East Asia and Pacific,China,DM06-1333 Musseling-in on Pollution ,"Water, Sanitation and Waste Management",Water Supply,2006-09-01,2006,2006,2008,2006-09-01,2006-12-30,2008-09-15,2.0," 187,251 ", -   , 1.00 , -   ," 187,251 "," 187,251 ",  ,  ," 187,251 "," 187,251 ",Specific Investment Loan,Not Available,N,Other
P108444,Eastern and Southern Africa,Mozambique,MZ-Energy Development and Access Project (APL-2),Energy and Extractives,Renewable Energy Biomass,2009-01-15,2010,2011,2017,2010-02-04,2011-03-14,2017-06-15,7.4, -   ," 80,000,000 ", -   , 1.00 ," 80,000,000 "," 80,000,000 ", -   ," 80,000,000 ", -   ," 80,000,000 ",Investment Project Financing,B,N,IDA
P108516,East Asia and Pacific,China,China Guangdong Huizhou CCGT project,Energy and Extractives,Oil and Gas,2007-12-06,2007,,2014,2007-12-19,,2014-12-31,7.0," 497,409,984 ", -   , 1.00 , -   ," 497,409,984 "," 497,410,016 ",  ,  , 0 , 0 ,,,N,Grants
P108627,East Asia and Pacific,China,Nanning Urban Environment,"Water, Sanitation and Waste Management",Sanitation,2008-12-24,2010,2010,2016,2010-06-01,2010-10-18,2016-06-30,6.1," 126,510,000 "," 100,000,000 ", 0.56 , 0.44 ," 226,510,000 "," 226,510,000 "," 100,000,000 ", -   , -   ," 100,000,000 ",Investment Project Financing,A,N,IBRD
P108741,Latin America and Caribbean,Argentina,Greenhouse Gases Reduction by Using Citrus Residues in Tucuman,Energy and Extractives,Renewable energy,2007-06-15,2007,2007,2010,2007-06-15,2007-07-05,2010-06-30,3.0," 109,103 ", -   , 1.00 , -   ," 109,103 "," 109,103 ",  ,  ," 109,103 "," 109,103 ",Specific Investment Loan,B,N,Other
P108743,Latin America and Caribbean,Argentina,Prototypes related to the Production and Use of Hydrogen Fuel,Energy and Extractives,Renewable energy,2007-06-15,2007,2007,2009,2007-06-15,2007-07-06,2009-06-30,2.0," 100,000 ", -   , 1.00 , -   ," 100,000 "," 100,000 ",  ,  ," 100,000 "," 100,000 ",Specific Investment Loan,B,N,Other
P108746,Latin America and Caribbean,Argentina,Conservation of Patagonian Steppe and Southern Andes Fauna,Energy and Extractives,Renewable Energy Biomass,2007-06-15,2007,2007,2010,2007-06-15,2007-07-05,2010-06-30,3.0," 138,060 ", -   , 1.00 , -   ," 138,060 "," 138,060 ",  ,  ," 138,060 "," 138,060 ",Specific Investment Loan,B,N,Other
P109986,Western and Central Africa,Senegal,Water and Sanitation Millennium Project,"Water, Sanitation and Waste Management",Sanitation,2008-11-17,2010,2010,2015,2010-02-16,2010-06-21,2015-06-30,5.4," 1,560,000 "," 55,000,000 ", 0.03 , 0.97 ," 56,560,000 "," 56,560,000 ", -   ," 55,000,000 ", -   ," 55,000,000 ",Investment Project Financing,B,N,IDA
P110051,South Asia,India,HARYANA POWER SYSTEM IMPROVEMENT PROJECT,Energy and Extractives,Energy Transmission and Distribution,2008-09-24,2009,2009,2017,2009-08-04,2009-10-15,2017-12-31,8.4," 80,000,000 "," 330,000,000 ", 0.20 , 0.80 ," 410,000,000 "," 410,000,000 "," 330,000,000 ", -   , -   ," 330,000,000 ",Investment Project Financing,Not Available,N,Other
P110075,Western and Central Africa,Benin,Increased Access to Modern Energy,Energy and Extractives,Renewable Energy Biomass,2008-10-07,2009,2009,2018,2009-06-23,2009-07-13,2018-12-31,9.5," 108,690,000 "," 54,500,000 ", 0.67 , 0.33 ," 163,190,000 "," 163,190,000 ", -   ," 54,500,000 "," 47,090,000 "," 101,590,000 ",Investment Project Financing,B,N,Grants
P110092,Latin America and Caribbean,Nicaragua,NI Greater Managua Water and Sanitation (PRASMA),"Water, Sanitation and Waste Management",Sanitation,2008-05-08,2008,2009,2015,2008-12-16,2009-05-11,2015-02-28,6.2, -   ," 40,000,000 ", -   , 1.00 ," 40,000,000 "," 40,000,000 ", -   ," 40,000,000 ", -   ," 40,000,000 ",Investment Project Financing,B,N,IDA
P110267,Europe and Central Asia,Kyrgyz Republic,Second Rural Water Supply & Sanitation,"Water, Sanitation and Waste Management",Sanitation,2008-08-18,2009,2009,2014,2009-04-21,2009-08-19,2014-10-31,5.5," 3,080,000 "," 10,000,000 ", 0.24 , 0.76 ," 13,080,000 "," 13,080,000 ", -   ," 10,000,000 "," 1,330,000 "," 11,330,000 ",Investment Project Financing,B,N,Other
P110281,South Asia,Bangladesh,Rural Transport Improvement Additional Financing,Transportation,Rural and Inter-Urban Roads,2008-01-10,2008,,2012,2008-01-10,,2012-06-30,4.5, -   ," 20,000,000 ", -   , 1.00 ," 20,000,000 "," 20,000,000 ", -   ," 20,000,000 ", -   ," 20,000,000 ",Specific Investment Loan,A,Y,IDA
P110324,South Asia,Sri Lanka,Sri Lanka: Road Sector Assistance Project : Additional Credit,Transportation,Rural and Inter-Urban Roads,2008-03-07,2008,,2015,2008-07-17,,2015-06-30,7.0, -   ," 98,100,000 ", -   , 1.00 ," 98,100,000 "," 98,100,000 ", -   ," 98,100,000 ", -   ," 98,100,000 ",Specific Investment Loan,B,Y,IDA
P110371,South Asia,India,Sustainable Urban Transport Project,Transportation,Urban Transport,2009-06-02,2009,2010,2018,2009-12-10,2010-05-03,2018-03-31,8.3," 221,170,000 "," 105,230,000 ", 0.68 , 0.32 ," 326,400,000 "," 326,400,000 "," 105,230,000 ", -   , -   ," 105,230,000 ",Investment Project Financing,B,N,Other
P110458,Eastern and Southern Africa,Zambia,Water Sector Performance Improvement Project - Additional Financing,"Water, Sanitation and Waste Management",Sanitation,2008-05-05,2009,,2013,2009-04-16,,2013-06-30,4.2," 1,000,000 "," 10,000,000 ", 0.09 , 0.91 ," 11,000,000 "," 11,000,000 ", -   ," 10,000,000 ", -   ," 10,000,000 ",Specific Investment Loan,B,Y,IDA
P110462,Latin America and Caribbean,Argentina,Argentina Mining Environmental Restoration Project,Energy and Extractives,Mining,2008-06-06,2008,2010,2017,2008-07-31,2010-04-28,2017-06-27,8.9," 4,250,000 "," 30,000,000 ", 0.12 , 0.88 ," 34,250,000 "," 34,250,000 "," 30,000,000 ", -   , -   ," 30,000,000 ",Investment Project Financing,A,N,IBRD
P110498,Latin America and Caribbean,Argentina,AR PERMER Renewable Energy Additional Financing,Energy and Extractives,Renewable Energy Biomass,2008-05-29,2008,,2012,2008-11-11,,2012-12-31,4.1, -   ," 50,000,000 ", -   , 1.00 ," 50,000,000 "," 50,000,000 "," 50,000,000 ", -   , -   ," 50,000,000 ",Specific Investment Loan,B,Y,IBRD
P110603,"Middle East, North Africa, Afghanistan, and Pakistan","Yemen, Republic of",RY-LOSS REDUCTION PROJECT (Clean Development Mechanism-CDM),Energy and Extractives,Power,2010-04-21,2010,2010,2014,2010-06-22,2010-06-22,2014-07-31,4.1," 28,000,000 ", -   , 1.00 , -   ," 28,000,000 "," 28,000,000 ",  ,  ," 28,000,000 "," 28,000,000 ",,,Y,Other
P110679,Europe and Central Asia,Azerbaijan,ARP/II-Integrated Solid Waste Management,"Water, Sanitation and Waste Management",Waste Management,2008-02-12,2008,2009,2018,2008-06-17,2009-07-31,2018-08-31,10.2," 12,000,000 "," 29,500,000 ", 0.29 , 0.71 ," 41,500,000 "," 41,500,000 "," 29,500,000 ", -   , -   ," 29,500,000 ",Investment Project Financing,B,N,IBRD
P110682,Europe and Central Asia,Azerbaijan,ARP/ III-Large Scale Oil Polluted Land Clean up,Energy and Extractives,Oil and Gas,2008-02-12,2008,,2009,2008-06-17,,2009-12-18,1.5," 124,000,000 "," 60,000,000 ", 0.67 , 0.33 ," 184,000,000 "," 184,000,000 "," 60,000,000 ", -   , -   ," 60,000,000 ",Investment Project Financing,B,N,IBRD
P110935,"Middle East, North Africa, Afghanistan, and Pakistan","Egypt, Arab Republic of",EG-LAND FILLING AND PROCESING SERVICES FOR SOUTHERN ZONE IN CAIRO,"Water, Sanitation and Waste Management",Waste Management,2008-06-30,2008,2008,2015,2008-06-30,2008-06-30,2015-12-31,7.5," 4,000,000 ", -   , 1.00 , -   ," 4,000,000 "," 4,000,000 ",  ,  ," 4,000,000 "," 4,000,000 ",,,N,Grants
P110956,"Middle East, North Africa, Afghanistan, and Pakistan",Lebanon,LB - Urban Transport Development - Additional Financing,Transportation,Urban Transport,2008-11-13,2009,,2015,2009-01-22,,2015-12-31,6.9, -   ," 69,700,000 ", -   , 1.00 ," 69,700,000 "," 69,700,000 "," 69,700,000 ", -   , -   ," 69,700,000 ",Specific Investment Loan,A,Y,IBRD
P110978,East Asia and Pacific,Lao People's Democratic Republic,Rural Electrification Phase II Project of the Rural Electrification (APL) Program,Energy and Extractives,Renewable Energy Biomass,2009-10-26,2010,2010,2015,2010-01-12,2010-08-09,2015-06-30,5.5," 14,820,000 "," 20,000,000 ", 0.43 , 0.57 ," 34,820,000 "," 34,820,000 ", -   ," 20,000,000 "," 4,500,000 "," 24,500,000 ",Investment Project Financing,B,N,Grants
P111018,Western and Central Africa,Mali,Additional Financing Mali Household Energy and Universal Access Project,Energy and Extractives,Renewable Energy Biomass,2008-07-11,2008,,2012,2008-09-04,,2012-06-30,3.8," 3,860,000 "," 35,000,000 ", 0.10 , 0.90 ," 38,860,000 "," 38,860,000 ", -   ," 35,000,000 ", -   ," 35,000,000 ",Specific Investment Loan,B,Y,Other
P111019,Western and Central Africa,Benin,Additional Financing for the Benin Energy Services Delivery Project,Energy and Extractives,Renewable Energy Hydro,2008-05-19,2008,,2012,2008-06-26,,2012-12-31,4.5, -   ," 7,000,000 ", -   , 1.00 ," 7,000,000 "," 7,000,000 ", -   ," 7,000,000 ", -   ," 7,000,000 ",Adaptable Program Loan,B,Y,IDA
P111074,"Middle East, North Africa, Afghanistan, and Pakistan",Iraq,IQ: Integrated National Energy Strategy Technical Assistance,Energy and Extractives,Oil and Gas,2010-01-14,2009,2010,2013,2009-12-30,2010-01-11,2013-06-30,3.5," 5,000,000 ", -   , 1.00 , -   ," 5,000,000 "," 5,000,000 ",  ,  ," 5,000,000 "," 5,000,000 ",Investment Project Financing,B,N,Grants
