projectid_head,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res
30551,30551-013,Mindanao Basic Urban Services Sector,Philippines,Loan,Closed,1843,9/27/01,Transportation,Road transport (non-urban) ,B,C,C
31190,31190-013,Tianjin Wastewater Treatment and Water Resources Protection,China,Loan,Closed,1797,12/11/00,Water,Urban sewerage ,A,C,A
31280,31280-013,Road Sector Development Project,Sri Lanka,Loan,Closed,1986 | 8206,12/11/12,Transportation,Road transport (non-urban),B,C,C
31296,31296-013,West Zone Power System Development Project,Bangladesh,Loan,Closed,1884 | 1885,12/17/01,Energy,Electricity transmission and distribution,B,C,C
31341,31341-013,Northern Area Rural Power Distribution,Lao People's Democratic Republic,Loan,Closed,2005,9/18/03,Energy,Electricity transmission and distribution,B,C,A
31367,31367-013,Provincial Roads Improvement,Viet Nam,Loan,Closed,1888,12/18/01,Transportation,Road transport (non-urban),B,C,C
31435,31435-013,Western Transport Corridor,India,Loan,Closed,1839,9/20/01,Transportation,Road transport (non-urban),B,C,C
31501,31501-023,Secondary Towns and Rural Community-Based Water Supply and Sanitation Project (Supplementary Loans),Sri Lanka,Loan,Closed,2275 | 2276,11/29/06,Water,Urban water supply,B,C,B
31624,31624-013,Melamchi Water Supply (Engineering),Nepal,Loan,Closed,1640,11/10/98,Water,Water supply and sanitation,C,C,C
32058,32058-013,Road Sector Development Project,Pakistan,Loan,Closed,1891 | 1892 | 1893 | 1928 | 8202,12/19/01,Transportation,Road transport (non-urban),B,C,C
32107,32107-013,Power Transmission Improvement (Sector) Loan,India,Loan,Closed,1764,10/6/00,Energy,Electricity transmission and distribution,B,C,A
32124,32124-013,Road Upgrading and Maintenance,Papua New Guinea,Loan,Closed,1709,11/16/99,Transportation,,B,C,C
32124,32124-023,Road Maintenance and Upgrading (Sector) Project (Supplementary Loans),Papua New Guinea,Loan,Closed,2242 | 2243,6/29/06,Transportation,Road transport (non-urban),B,C,C
32184,32184-013,Rehabilitation of the Maritime Navigation Aids System,Papua New Guinea,Loan,Closed,1754,9/12/00,Transportation,Water transport (non-urban),B,C,C
32200,32200-013,Suva Nausori Water Supply and Sewerage Project,Fiji,Loan | Technical Assistance,Closed,2055 | 4270,12/18/03,Water,Urban sewerage ,B,C,A
32203,32203-013,West Bengal Corridor Development,India,Loan,Closed,1870,12/11/01,Transportation,Road transport (non-urban),B,C,A
32208,32208-013,Outer Island Transport Infrastructure Project,Marshall Islands,Loan | Technical Assistance,Closed,1948 | 4004,11/28/02,Transportation,Water transport (non-urban),B,C,C
32223,32223-013,Road Network Improvement and Maintenance,Bangladesh,Loan,Closed,1920 | 8204,10/10/02,Transportation,Road transport (non-urban),B,C,A
32234,32234-023,MFF - Railway Sector Investment Program (Subproject 1),Bangladesh,Loan,Closed,2316 | 2317,2/13/07,Transportation,Rail transport (non-urban),B,C,A
32234,32234-043,Railway Sector Investment Program - Tranche 2,Bangladesh,Loan,Closed,2845,12/22/11,Transportation,Rail transport (non-urban),B,C,A
32234,32234-053,Railway Sector Investment Program - Tranche 3,Bangladesh,Loan,Closed,3097,12/9/13,Transportation,Rail transport (non-urban),C,C,C
32234,32234-063,Railway Sector Investment Program - Tranche 4 (Additional Financing),Bangladesh,Loan,Closed,3376,3/18/16,Transportation,Rail transport (non-urban),C,C,C
32253,32253-013,East West Corridor,India,Loan,Closed,1944,11/26/02,Transportation,Road transport (non-urban),B,C,A
32254,32254-013,Urban Water Supply and Environmental Improvement in Madhya Pradesh,India,Loan,Closed,2046,12/12/03,Water,Urban flood protection ,B,C,A
32254,32254-023,Urban Water Supply and Environmental Improvement in Madhya Pradesh Project (Supplementary Loan),India,Loan,Closed,2456,10/13/08,Water,Urban flood protection ,C,C,C
32273,32273-013,Northern Power Transmission (Sector) Project,Viet Nam,Loan,Closed,2128,12/13/04,Energy,Electricity transmission and distribution,B,C,A
32273,32273-023,Guarantee to Commercial Bank for a Loan in Connection with the Investment Support Program for Viet Nam Electricity,Viet Nam,Loan,Closed,2604,12/11/09,Energy,Electricity transmission and distribution,B,B,B
32298,32298-053,MFF-Madhya Pradesh Power Sector Investment Program (Tranche 4),India,Loan,Closed,2347,8/21/07,Energy,Electricity transmission and distribution,B,C,C
32298,32298-063,MFF - Madhya Pradesh Power Sector Investment Program - Project 5,India,Loan,Closed,2520,4/13/09,Energy,Electricity transmission and distribution,B,C,C
32298,32298-073,Madhya Pradesh Power Sector Investment Program - Tranche 6,India,Loan,Closed,2732,12/21/10,Energy,Electricity transmission and distribution,B,C,B
32300,32300-013,Kerala Sustainable Urban Development  (formerly Urban Infrastructure Development and Environment II),India,Loan,Closed,2226,12/20/05,Transportation,Urban roads and traffic management ,B,A,B
32327,32327-013,Hebei Wastewater Management,China,Loan,Closed,1985,12/19/02,Water,Urban sewerage,A,C,A
32334,32334-013,Southern Sichuan Roads Development,China,Loan,Closed,1918,9/20/02,Transportation,Road transport (non-urban),A,C,A
32336,32336-013,Western Yunnan Roads Development Project,China,Loan,Closed,2014,10/28/03,Transportation,Road transport (non-urban),A,C,A
32373,32373-013,Road Network,Bhutan,Loan | Technical Assistance,Closed,2187 | 4658,9/30/05,Transportation,Road transport (non-urban),A,C,B
32463,32463-013,Almaty-Bishkek Regional Road Rehabilitation,Kyrgyz Republic,Loan | Technical Assistance,Closed,1775 | 3531,10/31/00,Transportation,Road transport (non-urban),B,C,C
32513,32513-013,Power Rehabilitation Project,Tajikistan,Loan | Technical Assistance,Closed,1817 | 3600,12/20/00,Energy,Electricity transmission and distribution,B,C,C
32514,32514-013,Road Rehabilitation,Tajikistan,Loan | Technical Assistance,Closed,1819 | 3602 | 8203,12/20/00,Transportation,Road transport (non-urban),B,C,C
32525,32525-013,Fiji Ports Development Project,Fiji,Loan,Closed,1902,3/5/02,Transportation,Water transport (non-urban),B,C,C
33019,33019-013,Colombo Port Efficiency and Expansion Project,Sri Lanka,Loan,Closed,1841,9/27/01,Transportation,Water transport (non-urban),A,C,C
33175,33175-013,Hefei-Xi'an Railway,China,Loan,Closed,1748,8/17/00,Transportation,Rail transport (non-urban),A,C,A
33176,33176-013,Guangxi Roads Development,China,Loan,Closed,1851,10/30/01,Transportation,Road transport (non-urban),A,C,C
33177,33177-013,Harbin Water Supply,China,Loan,Closed,1995,3/11/03,Water,Urban water supply,A,C,A
33243,33243-013,Road Maintenance and Improvement,Bangladesh,Loan,Closed,1789 | 1790,11/29/00,Transportation,Road transport (non-urban),A,C,C
33307,33307-023,GMS Kunming-Haiphong Transport Corridor - Noi Bai-Lao Cai Highway Project,Viet Nam,Loan,Closed,2222 | 2391 | 2392 | 3207 | 3208 | 3209,12/19/05,Transportation,Road transport (non-urban),A,A,A
33432,33432-013,Vientiane Urban Infrastructure and Services,Lao People's Democratic Republic,Loan,Closed,1834,8/23/01,Transportation,Urban roads and traffic management ,B,C,C
33442,33442-013,Ganzhou-Longyan Railway,China,Loan,Closed,1850,10/30/01,Transportation,Rail transport (non-urban),A,C,A
33443,33443-013,Efficient Utilization of Agricultural Wastes Project,China,Grant | Loan,Closed,1924 | 3945,10/22/02,Energy,Renewable energy generation - biomass and waste,B,C,C
33459,33459-013,Xi'an Urban Transport Project,China,Loan,Closed,2024,11/27/03,Transportation,Urban roads and traffic management,A,C,A
33469,33469-013,Ningxia Roads Development,China,Loan,Closed,2004,9/11/03,Transportation,Road transport (non-urban),A,B,A
33470,33470-013,Gansu Roads Development Project,China,Loan,Closed,2125,12/13/04,Transportation,Road transport (non-urban),A,B,A
34097,34097-013,Shanxi Road Development II,China,Loan,Closed,1967,12/12/02,Transportation,Road transport (non-urban),A,C,A
34100,34100-013,Renewable Energy Development,Indonesia,Loan | Technical Assistance,Closed,1982 | 4054,12/19/02,Energy,Renewable energy generation - small hydro,B,A,B
34121,34121-013,Community Water Transport  Project,Papua New Guinea,Loan,Closed,2079 | 8211,3/25/04,Transportation,Water transport (non-urban),B,C,C
34159,34159-013,Road Rehabilitation II,Indonesia,Loan,Closed,2184,9/29/05,Transportation,Road transport (non-urban),B,C,C
34174,34174-013,Central Sichuan Roads Development,China,Loan,Closed,2181,9/22/05,Transportation,Road transport (non-urban),A,A,A
34197,34197-032,Northern and Central Regions Water Supply and Sanitation Sector,Lao People's Democratic Republic,Grant | Loan,Closed,0016 | 8219,6/27/05,Transportation,Urban roads and traffic management ,B,B,B
34197,34197-042,Northern and Central Regions Water Supply and Sanitation Sector Project - Supplementary,Lao People's Democratic Republic,Grant,Closed,205,4/7/10,Transportation,Urban roads and traffic management ,B,B,B
34231,34231-013,Greater Mekong Subregion: Northern Economic Corridor Project,Lao People's Democratic Republic,Loan,Closed,1989,12/20/02,Transportation,Road transport (non-urban),A,C,A
34263,34263-013,Madhya Pradesh State Roads Sector  Development Program (Project Loan),India,Loan | Technical Assistance,Closed,1958 | 1959 | 4013,12/5/02,Transportation,Road transport (non-urban),B,C,C
34333,34333-013,Balochistan Road Development Sector Project,Pakistan,Loan,Closed,2019 | 2020,11/20/03,Transportation,Road transport (non-urban),B,C,A
34339,34339-033,Renewable Energy Development Sector Investment Program - Tranche 2,Pakistan,Loan,Closed,2726,12/13/10,Energy,Renewable energy generation - wind,B,C,C
34356,34356-013,Central Region Transport Networks Improvement Sector Project,Viet Nam,Grant | Loan,Closed,0022 | 2195,11/11/05,Transportation,Road transport (non-urban),B,A,A
34374,34374-013,Rural Electrification Network Expansion,Bhutan,Loan,Closed,2009,9/30/03,Energy,Electricity transmission and distribution,B,C,C
34390,34390-013,Greater Mekong Subregion Transmission Project,Cambodia,Loan,Closed,2052,12/15/03,Energy,Electricity transmission and distribution,B,C,A
34415,34415-013,Road Network Improvement and Maintenance II,Bangladesh,Loan,Closed,2021,11/20/03,Transportation,Road transport (non-urban),B,C,B
34420,34420-013,National Highways Sector I,India,Loan,Closed,2029,12/4/03,Transportation,Road transport (non-urban),B,C,A
34420,34420-023,National Highway Corridor (Sector) I Project  (Supplementary Loan),India,Loan,Closed,2527,6/30/09,Transportation,Road transport (non-urban),C,C,C
34472,34472-013,Wuhan Wastewater Management,China,Loan,Closed,1996,4/25/03,Water,Urban sewerage,A,C,A
34561,34561-013,Chongqing-Guizhou Roads Development: Guizhou Component (Chongzun Expressway),China,Loan,Closed,1784,11/21/00,Transportation,Road transport (non-urban),A,C,C
34569,34569-013,Dushanbe-Kyrgyz Border Road Rehabilitation Project (Phase I),Tajikistan,Loan,Closed,2062 | 8212,12/18/03,Transportation,Road transport (non-urban),B,C,C
35049,35049-023,Padma Multipurpose Bridge Design Project ( formerly Padma Multipurpose Bridge Engineering TA Loan),Bangladesh,Loan,Closed,2375,12/5/07,Transportation,Road transport (non-urban),C,C,C
35049,35049-033,Padma Multipurpose Bridge Design Project (Supplementary Loan),Bangladesh,Loan,Closed,2593,12/2/09,Transportation,Road transport (non-urban),B,C,C
35139,35139-013,Power Transmission Improvement Sector,Indonesia,Loan,Closed,1983,12/19/02,Energy,Electricity transmission and distribution,B,C,C
35201,35201-013,Local Government Infrastructure Improvement Project,Sri Lanka,Loan,Closed,2201,11/24/05,Transportation,Urban roads and traffic management ,C,B,B
35290,35290-013,MFF - North Eastern Region Capital Cities Development Investment Program,India,Loan,Closed,30,6/23/09,Water,,B,A,A
35335,35335-013,National Highway Sector II,India,Loan,Closed,2154,12/21/04,Transportation,Road transport (non-urban),B,A,A
35337,35337-013,Guangxi Roads Development II Project,China,Loan,Closed,2094,10/21/04,Transportation,Road transport (non-urban),A,A,A
35338,35338-013,Hunan Roads Development II,China,Loan,Closed,2089,9/9/04,Transportation,Road transport (non-urban),A,A,A
35339,35339-013,Yichang-Wanzhou Railway Project,China,Loan,Closed,2051,12/15/03,Transportation,Rail transport (non-urban),A,B,A
35354,35354-013,Lanzhou-Chongqing Railway Development Project (formerly Lanyu Railway),China,Loan | Technical Assistance,Closed,2471,11/18/08,Transportation,Rail transport (non-urban) ,A,B,A
35377,35377-023,Regional Road Development Project - Supplementary,Mongolia,Grant | Loan,Closed,0199 | 2621,3/30/10,Transportation,Road transport (non-urban),B,C,C
35448,35448-013,Omnibus Infrastructure Development,"Micronesia, Federated States of",Loan | Technical Assistance,Closed,2099 | 2100 | 4426,11/5/04,Energy,Conventional energy generation ,B,C,C
35457,35457-013,East-West Highway Improvement Project,Azerbaijan,Loan,Closed,2205 | 2206,12/8/05,Transportation,Road transport (non-urban),B,C,A
35466,35466-013,Dhaka Clean Fuel Project,Bangladesh,Loan,Closed,1942 | 1943,11/26/02,Energy,Conventional energy generation,B,C,A
36005,36005-013,Chhattisgarh State Road Development Project,India,Loan,Closed,2050,12/15/03,Transportation,Road transport (non-urban),B,C,A
36018,36018-013,Electricity Market and Transmission Development,Philippines,Loan,Closed,1984,12/19/02,Energy,Electricity transmission and distribution,B,C,A
36052,36052-013,NWFP Road Development Sector and Subregional Connectivity,Pakistan,Loan,Closed,2103 | 2104,11/18/04,Transportation,Road transport (non-urban),A,C,A
36105,36105-013,Chittagong Port Trade Facilitation Project,Bangladesh,Loan,Closed,2147,12/20/04,Transportation,Road transport (non-urban) ,B,C,B
36107,36107-013,Sustainable Power Sector Development Program (Project),Bangladesh,Loan,Closed,2332 | 2333,6/26/07,Energy,Conventional energy generation ,B,C,A
36107,36107-023,Sustainable Power Sector Development Program (Program Loan),Bangladesh,Loan,Closed,2334,6/26/07,Energy,Conventional energy generation,B,B,A
36111,36111-013,Kulhudhuffushi Harbor Expansion Project,Maldives,Grant | Technical Assistance,Closed,0489 | 9155,8/16/16,Transportation,Water transport (non-urban),B,C,C
36188,36188-023,Secondary Towns Integrated Urban Environmental Improvement Project,Nepal,Loan,Closed,2650 | 8249,7/6/10,Transportation,Urban roads and traffic management ,B,B,B
36205,36205-013,Power Sector Development Program (Project Loan),Bangladesh,Loan,Closed,2039,12/10/03,Energy,Electricity transmission and distribution,B,C,C
36205,36205-023,Power Sector Development Program,Bangladesh,Loan,Closed,2038,12/10/03,Energy,Electricity transmission and distribution,B,C,C
36257,36257-013,Southern Transport Corridor Road Rehabilitation Project,Kyrgyz Republic,Loan | Technical Assistance,Closed,2106 | 4444,11/23/04,Transportation,Road transport (non-urban),B,C,C
36317,36317-013,Railway Sector Improvement Project,India,Loan | Technical Assistance,Closed,1981 | 4053,12/19/02,Transportation,Rail transport (non-urban),B,C,A
36318,36318-013,Assam Power Sector Development Program (Project Loan),India,Loan,Closed,2036 | 2037,12/10/03,Energy,Electricity transmission and distribution ,B,C,C
36320,36320-013,Rural Roads Sector I,India,Loan,Closed,2018,11/20/03,Transportation,Road transport (non-urban),B,C,A
36330,36330-023,Railway Sector Investment Program - Tranche 1,India,Loan,Closed,2793,10/18/11,Transportation,Rail transport (non-urban),B,B,A
36330,36330-033,Railway Sector Investment Program - Tranche 2,India,Loan,Closed,3108,2/6/14,Transportation,Rail transport (non-urban),C,C,C
36330,36330-043,Railway Sector Investment Program - Tranche 3,India,Loan,Closed,3623,12/13/17,Transportation,Rail transport (non-urban),B,B,A
36339,36339-022,Small Towns Water Supply and Sanitation Sector Project,Lao People's Democratic Republic,Grant,Closed,143,2/2/09,Water,Urban flood protection ,B,B,B
36352,36352-013,Song Bung 4 Hydropower Project,Viet Nam,Loan,Closed,2429,6/26/08,Energy,Large hydropower generation,A,A,A
36432,36432-013,Dali-Lijiang Railway Project,China,Loan,Closed,2116,12/2/04,Transportation,Rail transport (non-urban),A,C,A
36433,36433-013,Taiyuan-Zhongwei Railway Project,China,Loan,Closed,2274,11/23/06,Transportation,Rail transport (non-urban),A,B,A
36455,36455-013,Central Yunnan Roads Development Project,China,Loan,Closed,2448,9/25/08,Transportation,Road transport (non-urban),A,A,A
36505,36505-013,Shandong Hai River Basin Pollution Control,China,Loan,Closed,2237,6/21/06,Water,Urban hazardous waste management ,A,C,A
36507,36507-013,JILIN WATER SUPPLY AND SEWERAGE DEVELOPMENT PROJECT,China,Loan,Closed,2175,7/18/05,Water,Urban sewerage ,A,C,A
36595,36595-013,Anhui Hefei Urban Environment Improvement Project,China,Loan,Closed,2328,4/24/07,Transportation,Urban public transport ,A,C,A
36673,36673-013,Emergency Infrastructure Rehabilitation and Reconstruction Project,Afghanistan,Loan,Closed,1997,6/3/03,Energy,Conventional energy generation ,B,C,C
37027,37027-013,Subregional Transport Facilitation (NEP),Nepal,Loan,Closed,2097,11/4/04,Transportation,Road transport (non-urban),A,C,A
37041,37041-013,Second Power Transmission and Distribution Project,Cambodia,Loan,Closed,2261,10/4/06,Energy,Electricity transmission and distribution,B,B,B
37066,37066-013,MFF - Rural Roads Sector II Investment Program (Facility Concept),India,Loan,Closed,1,12/20/05,Transportation,,B,B,B
37066,37066-023,MFF - Rural Roads Sector II Investment Program (Subproject 1),India,Loan,Closed,2248,7/31/06,Transportation,Road transport (non-urban),B,B,C
37066,37066-033,MFF - Rural Roads Sector II Investment Program - Project 2,India,Loan,Closed,2414,3/17/08,Transportation,Road transport (non-urban),B,B,C
37066,37066-043,MFF - Rural Roads Sector II Investment Program (Project 3),India,Loan,Closed,2445,9/26/08,Transportation,Road transport (non-urban),B,C,C
37066,37066-053,MFF - Rural Roads Sector II Investment Program - Project 4,India,Loan,Closed,2535,8/7/09,Transportation,Road transport (non-urban),B,C,C
37066,37066-063,MFF - Rural Roads Sector II Investment Program - Tranche 5,India,Loan,Closed,2651,7/6/10,Transportation,Road transport (non-urban),B,C,C
37075,37075-013,Andkhoy-Qaisar Road Project,Afghanistan,Loan,Closed,2140,12/15/04,Transportation,Road transport (non-urban),B,C,B
37075,37075-022,Qaisar-Bala Murghab Road Project,Afghanistan,Grant,Closed,12,7/12/05,Transportation,Road transport (non-urban),B,C,B
37078,37078-013,Power Transmission and Distribution Project,Afghanistan,Grant | Loan | Technical Assistance,Closed,0004 | 2165 | 4579,4/14/05,Energy,Electricity transmission and distribution,B,B,B
37136,37136-013,Regional Airports Rehabilitation Project Phase I,Afghanistan,Loan,Closed,2105,11/23/04,Transportation,Air transport ,B,C,B
37139,37139-013,MFF - Uttaranchal Power Sector Investment Program (Facility Concept),India,Loan,Closed,3,3/30/06,Energy,,A,A,C
37139,37139-023,Uttaranchal Power Sector Investment Program - Tranche 1,India,Loan,Closed,2309,1/2/07,Energy,Large hydropower generation ,A,B,A
37139,37139-033,MFF - Uttarakhand Power Sector Investment Program - Project 2,India,Loan,Closed,2498,12/23/08,Energy,Electricity transmission and distribution,B,B,B
37139,37139-043,MFF - Uttarakhand Power Sector Investment Program - Project 3,India,Loan,Closed,2502,1/8/09,Energy,Electricity transmission and distribution,B,C,C
37139,37139-053,Uttarakhand Power Sector Investment Program - Tranche 4,India,Loan,Closed,2924,10/26/12,Energy,Electricity transmission and distribution,B,C,B
37143,37143-023,MFF - North Eastern State Roads Investment Program - Tranche 1,India,Loan,Closed,2770,8/22/11,Transportation,Road transport (non-urban),B,B,A
37143,37143-033,North Eastern States Roads Investment Program (Project 2),India,Loan,Closed,3073,12/2/13,Transportation,Road transport (non-urban),B,B,A
37192,37192-013,MFF - Power Transmission Enhancement Investment Program,Pakistan,Loan,Closed,7,12/12/06,Energy,,B,B,A
37192,37192-023,Power Transmission Enhancement Investment Program Tranche 1,Pakistan,Loan,Closed,2289 | 2290,12/13/06,Energy,Electricity transmission and distribution,B,B,A
37192,37192-033,Power Transmission Enhancement Investment Program Tranche 2,Pakistan,Loan,Closed,2396,12/17/07,Energy,Electricity transmission and distribution,B,C,A
37192,37192-043,Power Transmission Enhancement Investment Program Tranche 3,Pakistan,Loan,Closed,2846,12/22/11,Energy,Electricity transmission and distribution,B,C,B
37192,37192-044,Power Transmission Enhancement Investment Program Tranche 4,Pakistan,Loan,Closed,3203 | 8311,12/3/14,Energy,Electricity transmission and distribution,B,C,A
37262,37262-013,TA Loan for Road Project Preparatory Facility,Sri Lanka,Loan,Closed,2080,4/13/04,Transportation,Road transport (non-urban),C,C,C
37265,37265-013,Domestic Maritime Transport Project,Maldives,Loan,Closed,2327,4/24/07,Transportation,Water transport (non-urban),B,C,C
37266,37266-032,Roads Connectivity Sector I,Nepal,Grant | Loan,Closed,0051 | 8231,8/10/06,Transportation,Road transport (non-urban),B,B,A
37269,37269-013,CAM: GMS Rehabilitation of the Railway in Cambodia,Cambodia,Loan,Closed,2288 | 8228,1/10/07,Transportation,Rail transport (non-urban),B,B,A
37269,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,Cambodia,Grant | Loan,Closed,0187 | 2602,12/15/09,Transportation,Rail transport (non-urban),B,C,A
37328,37328-013,Madhya Pradesh State Roads Sector Project II,India,Loan | Technical Assistance,Closed,2330 | 4934,5/31/07,Transportation,Road transport (non-urban),B,A,B
37381,37381-013,Dry Zone Urban Water and Sanitation Project,Sri Lanka,Grant | Loan,Closed,0129 | 0130 | 2477 | 2977,11/28/08,Water,Urban sanitation ,A,C,A
37487,37487-013,Zhengzhou-Xi'an Railway Project,China,Loan,Closed,2182,9/22/05,Transportation,Rail transport (non-urban),A,B,B
37490,37490-013,Eastern Sichuan Roads Development Project,China,Loan,Closed,2339,7/17/07,Transportation,Road transport (non-urban),A,C,A
37494,37494-013,Hunan Roads Development III,China,Loan,Closed,2219,12/15/05,Transportation,Road transport (non-urban),A,A,A
37559,37559-013,Multitranche Financing Facility-National Highway Development Sector Investment Program,Pakistan,Loan,Closed,2,12/13/05,Transportation,,A,C,A
37559,37559-033,National Highway Development Sector Investment Program-Project 1,Pakistan,Loan,Closed,2231,2/15/06,Transportation,Road transport (non-urban),A,C,A
37559,37559-043,National Highway Development Sector Investment Program - Tranche 2,Pakistan,Loan,Closed,2540,8/26/09,Transportation,Road transport (non-urban),A,C,A
37597,37597-013,Wuhan Wastewater and Stormwater Management (formerly Wuhan Wastewater and Stormworks Management),China,Loan,Closed,2240,6/26/06,Water,Urban flood protection ,A,C,A
37603,37603-013,Nanjing Qinhuai River Environmental Improvement  Project,China,Loan,Closed,2297,12/18/06,Water,Urban flood protection ,A,C,A
37651,37651-012,Solid Waste Management and Income Generation for Vientiane's Poor,Lao People's Democratic Republic,Grant,Closed,9035,12/16/03,Water,Waste Management,C,C,C
37734,37734-013,GMS Nam Theun 2 Hydroelectric Project,Lao People's Democratic Republic,Loan,Closed,2162,4/4/05,Energy,Large hydropower generation,A,C,A
38049,38049-013,Urban Infrastructure Development,Bhutan,Loan | Technical Assistance,Closed,2258 | 4844,9/27/06,Transportation,Urban roads and traffic management ,B,C,A
38136,38136-013,Multi-sector Project for Infrastructure Rehabilitation in Jammu and Kashmir,India,Loan,Closed,2151,12/21/04,Transportation,Road transport (non-urban) ,B,C,B
38160,38160-032,Integrated Urban Development Sector Project,Tonga,Grant,Closed,108,5/27/08,Transportation,Urban roads and traffic management ,B,C,A
38164,38164-013,Natural Gas Access Improvement Project (formerly Clean Fuel Development Project),Bangladesh,Loan,Closed,2622 | 2623,3/26/10,Energy,Conventional energy generation ,B,C,A
38174,38174-013,Southern Gansu Roads Development Project,China,Loan,Closed,2295,12/18/06,Transportation,Road transport (non-urban),A,B,A
38196,38196-013,Northern Power Transmission Expansion (Sector) Project,Viet Nam,Loan,Closed,2225,12/21/05,Energy,Electricity transmission and distribution,B,B,A
38236,38236-022,"Dushanbe-Kyrgyz Border Road Rehabilitation Project, Phase II (TAJ)",Tajikistan,Grant | Loan,Closed,0023 | 0154 | 2196,11/17/05,Transportation,Road transport (non-urban),C,C,C
38254,38254-013,MFF - North Karnataka Urban Sector Investment Program (Facility Concept),India,Loan,Closed,6,12/6/06,Water,,B,B,B
38254,38254-063,North Karnataka Urban Sector Investment Program - Project 4,India,Loan,Closed,3088,12/9/13,Transportation,Urban roads and traffic management ,B,C,B
38255,38255-013,MFF - Uttarakhand State-Road Investment Program (Facility Concept),India,Loan,Closed,10,12/18/06,Transportation,,A,B,A
38255,38255-023,MFF - Uttarakhand State-Road Investment Program (Subproject 1),India,Loan,Closed,2308,1/2/07,Transportation,Road transport (non-urban),A,B,A
38255,38255-033,MFF - Uttarakhand State-Road Investment Program (Subproject 2),India,Loan,Closed,2458,10/22/08,Transportation,Road transport (non-urban),B,B,B
38255,38255-043,Uttarakhand State-Road Investment Program - Tranche 3,India,Loan,Closed,3040,10/9/13,Transportation,Road transport (non-urban),B,C,B
