projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
25136,25136,,,,SAM,Samoa,Pacific,A,A,Power Sector Improvement Project,Project,Project loan,,COL,6,0.51,5.88,12/17/01,2001,4/29/02,7/28/02,10/28/02,6/30/04,5/26/06,0,0,7.5,1.45,Energy,Large hydropower generation,na,na,na,na,na,na,na,na,na,na
25322,25322,,,,NEP,Nepal,South Asia,A,A,Rural Infrastructure Development Project,Project,Project loan,,COL,12.2,10.77,12.29,6/27/96,1996,8/27/96,11/25/96,9/26/96,6/30/03,9/28/06,0,0,16.9,15.6,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
26237,26237,,,,INO,Indonesia,Southeast Asia,C,B,Power XXIII Project,Project,Project loan,,OCR,275,175.25,275,11/25/93,1993,1/18/94,4/18/94,5/26/94,12/31/00,12/18/06,49,0,601.6,420.4,Energy,Large hydropower generation,na,na,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
26427,26427,,,,BAN,Bangladesh,South Asia,B,B1,Secondary Towns Integrated Flood Protection Project (Phase 2),Project,Project loan,Project loan,COL/OFID,95,86.73701988,84.08021664,12/2/04,2004,1/12/05,4/11/05,6/12/05,12/31/09,1/30/15,15,13.88,128.88,99.97,Water,Urban flood protection,na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
26522,26522,,,,SRI,Sri Lanka,South Asia,B,B1,Southern Transport Development Project,Project,Project loan,,OCR/ADF,180,185.97,178.7684072,11/25/99,1999,12/16/99,3/16/00,10/30/02,12/31/06,7/5/13,127.7,497.81,295.9,906.47,Transportation,Road transport (non-urban),na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
26522,26522,,,,SRI,Sri Lanka,South Asia,B,B1,Southern Transport Development Project ,Project,Project loan,,COL,90,95.97620938,88.7684072,11/25/99,1999,12/16/99,3/16/00,10/30/02,12/31/10,2/25/11,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
26522,26522,,,,SRI,Sri Lanka,South Asia,B,B1,Southern Transport Development Project (Supplementary loan),Project,Project loan,,OCR,90,89.99999991,90,3/6/08,2008,4/30/08,7/30/08,6/13/08,6/30/13,7/5/13,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
27013,27013,,,,PHI,Philippines,Southeast Asia,C,B,Rural Water Supply and Sanitation Sector Project,Project,Sector loan,,COL/OCR,37,18.59,36.26,6/4/96,1996,6/3/97,9/3/97,11/7/97,2/1/02,7/23/04,0,0,57.4,31.35,Water,Urban water supply,na,na,na,na,na,na,na,na,na,na
27013,27013,,,,PHI,Philippines,Southeast Asia,C,B,Rural Water Supply and Sanitation Sector Project,Project,Sector loan,,OCR,18.5,9.48,18.5,6/4/96,1996,6/3/97,9/3/97,11/7/97,2/1/02,7/8/04,,,,,Water,Urban water supply,na,na,na,na,na,na,na,na,na,na
27013,27013,,,,PHI,Philippines,Southeast Asia,C,B,Rural Water Supply and Sanitation Sector Project,Project,Sector loan,,COL,18.5,9.1,17.76,6/4/96,1996,6/3/97,9/3/97,11/7/97,2/1/02,7/23/04,,,,,Water,Urban water supply,na,na,na,na,na,na,na,na,na,na
27132,27132,,,,IND,India,South Asia,B,A,Karnataka Urban Infrastructure Development Project,Project,Project loan,,OCR,105,96.38,105,12/14/95,1995,5/10/96,8/8/96,7/8/96,6/30/02,12/7/04,0,0,132,123.48,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
27132,27132,,,,IND,India,South Asia,B,A,Karnataka Urban Infrastructure Development Project,Project,Project loan,,OCR,85,76.38,85,12/14/95,1995,5/10/96,7/8/96,7/8/96,6/30/02,12/7/04,,,,,Water,"Urban policy, institutional and capacity development",na,na,-,-,-,-,-,-,-,-
27132,27132,,,,IND,India,South Asia,B,A,Karnataka Urban Infrastructure Development Project,Project,Credit line (Loan),,OCR,20,20,20,12/14/95,1995,12/13/96,2/11/97,12/19/96,6/30/02,1/26/01,,,,,Water,"Urban policy, institutional and capacity development",na,na,-,-,-,-,-,-,-,-
27182,27182,,,,PAK,Pakistan,Central and West Asia,B,B1,NWFP Urban Development Sector Project,Project,Sector loan,,COL,20.8,4.68,20.48029528,11/8/01,2001,12/21/01,3/21/02,10/23/02,6/30/08,12/19/08,0,0,30,6.92,Water,Urban flood protection,TRA,Road transport (non-urban),unsuccessful,less than relevant,less than effective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
27250,27250,,,,PHI,Philippines,Southeast Asia,C,B,Small Towns Water Supply Sector Project,Project,Sector loan,,OCR,50,24.8,50,9/30/96,1996,6/3/97,9/1/97,10/7/97,6/30/02,12/14/04,0,0,83,50.07,Water,Urban water supply,na,na,na,na,na,na,na,na,na,na
27358,27358,,,,INO,Indonesia,Southeast Asia,C,B,Metropolitan Medan Urban Development Project,Project,Project loan,,OCR,116,74.54,116,12/8/97,1997,2/3/98,3/30/98,3/30/98,9/30/03,4/2/07,0,0,198.2,141.7,Water,"Urban policy, institutional and capacity development",na,na,less than successful,less than relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
27385,27385,,,,PRC,China,East Asia,C,A,Shenmu-Yanan Railways Project,Project,Project loan,,OCR,200,141.8,200,9/29/97,1997,9/24/98,12/23/98,3/1/99,6/30/03,6/30/03,0,0,795.5,731.78,Transportation,Rail transport (non-urban),na,na,na,na,na,na,na,na,na,na
27399,27399,,,,VIE,Viet Nam,Southeast Asia,C,B1,Ho Chi Minh City Environmental Improvement,Project,Project loan,,COL,70,5.08,69.94,10/7/99,1999,12/21/99,3/20/00,6/29/00,6/30/06,1/31/08,1.8,1.8,100,5.08,Water,"Urban policy, institutional and capacity development",na,na,na,na,na,na,na,na,na,na
27405,27405,,,,VIE,Viet Nam,Southeast Asia,C,A,Second Provincial Towns Water Supply and Sanitation Project,Project,Project loan,,COL,69,59.27,66.4,2/27/97,1997,6/11/97,9/9/97,11/17/97,6/30/02,3/29/06,0,0,92,71.97,Water,Urban water supply,na,na,successful,highly relevant,highly effective,less than efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
27511,27511,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Xieng Khouang Road Improvement Project,Project,Project loan,,COL,46,45.55,46.47,9/9/97,1997,11/20/97,2/18/98,2/18/97,6/30/02,4/28/06,4.2,4.38,64.5,60.74,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
28025,28025,,,,BAN,Bangladesh,South Asia,B,B1,Dhaka Power Systems Upgrade Project,Project,Project loan,,COL/OCR,157,125.21,156.6006282,12/21/99,1999,1/12/00,4/11/00,8/2/00,6/30/04,6/14/10,0,0,300,241.3,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory
28025,28025,,,,BAN,Bangladesh,South Asia,B,B1,Dhaka Power Systems Upgrade Project,Project,Project loan,,COL,75,50.84798411,74.60062822,12/21/99,1999,1/12/00,4/11/00,8/2/00,12/31/09,4/26/10,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
28025,28025,,,,BAN,Bangladesh,South Asia,B,B1,Dhaka Power Systems Upgrade Project,Project,Project loan,,OCR,82,74.35749031,82,12/21/99,1999,1/12/00,4/11/00,8/2/00,6/30/08,6/14/10,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
28079,28079,,,,BHU,Bhutan,South Asia,A,A,Urban Infrastructure Improvement Project,Project,Project loan,,COL,5.7,5.84,5.98,7/30/98,1998,11/20/98,2/18/99,3/17/99,6/30/04,8/25/05,0,0,5.7,5.84,Water,"Urban policy, institutional and capacity development",na,na,na,na,na,na,na,na,na,na
28153,28153,,,,SRI,Sri Lanka,South Asia,B,A,Third Water Supply & Sanitation Sector Project,Project,Sector loan,,COL,75,83.15,78.11950196,11/6/97,1997,1/19/98,4/19/98,7/17/98,6/30/05,8/19/08,46,69.7,121,152.8,Water,Urban water supply,na,na,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,satisfactory
28163,28163,,,,SRI,Sri Lanka,South Asia,B,A,Urban Development and Low-Income Housing (Sector) Project,Project,Sector loan,,COL,70,66.92,73.36,9/24/98,1998,11/18/98,2/16/99,3/2/99,6/30/05,12/26/07,0,0,100,103,Water,"Urban policy, institutional and capacity development",na,na,na,na,na,na,na,na,na,na
28187,28187,,,,VIE,Viet Nam,Southeast Asia,C,A,Central and Southern Viet Nam Power Distribution Project,Project,Project loan,,COL,100,49.24,101.37,11/27/97,1997,11/25/98,2/23/99,2/25/99,12/31/02,5/30/05,0,0,140,90.26,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
28191,28191,,,,CAM,Cambodia,Southeast Asia,A,A,Provincial Power Supply Project,Project,Project loan,,COL,18.6,19.39,18.13,12/5/00,2000,4/5/01,7/4/01,8/1/01,12/31/04,4/5/07,5.55,5.59,24.17,24.98,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
28212,28212,,,,PRC,China,East Asia,C,B2,Hebei Zhanghewan Pumped Storage Project,Project,Project loan,,OCR,144,135.95,144,10/18/02,2002,8/28/03,11/28/04,1/16/04,12/31/09,7/11/13,0,0,774.9,901.9,Energy,Large hydropower generation,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
28261,28261,,,,FIJ,Fiji,Pacific,B,B,Third Road Upgrading (Sector) ,Project,Project loan,Project loan,OCR,66.8,66.04,66.8,8/26/97,1997,10/17/97,1/15/98,1/15/98,12/31/13,5/19/14,0,0,162.6,168.83,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28270,28270,,,,PHI,Philippines,Southeast Asia,C,B,Third Airport Development Project (Southern Philippines),Project,Project loan,,OCR,93,12.16,93,9/16/97,1997,1/21/98,4/21/98,11/11/98,5/31/03,9/5/05,29,0,167,25.68,Transportation,Air transport,na,na,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
28310,28310,,,,KIR,Kiribati,Pacific,A,A,"Sanitation, Public Health, and Environment Improvement Project",Project,Project loan,,COL,10.24,9.94,9.89,12/8/98,1998,4/28/99,7/26/99,9/15/99,12/31/03,4/9/08,0,0,12.8,12.49,Water,Urban water supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28314,28314,,,,SAM,Samoa,Pacific,A,A,Sanitation and Drainage,Project,Project loan,,COL/ADF,13.02,13.48,13.06132578,11/27/03,2003,6/1/04,8/30/04,8/30/04,6/30/09,5/9/11,0,0,17.81,17.91,Water,Urban sanitation,na,na,na,na,na,na,na,na,na,na
28314,28314,,,,SAM,Samoa,Pacific,A,A,Sanitation and Drainage ,Project,Project loan,,COL,8,8.63598539,8.23126728,11/27/03,2003,6/1/04,8/30/04,8/30/04,12/31/10,5/9/11,,,,,Water,Urban sanitation,na,na,na,na,na,na,na,na,na,na
28314,28314,,,,SAM,Samoa,Pacific,A,A,Sanitation and Drainage (Supplementary),Project,Project loan,,COL,2.78,2.62212025,2.6100585,9/12/08,2008,10/10/08,1/8/09,1/16/09,12/31/10,5/9/11,,,,,Water,Urban sewerage,na,na,na,na,na,na,na,na,na,na
28314,28314,,,,SAM,Samoa,Pacific,A,A,Sanitation and Drainage (Supplementary),Project,Project grant,,ADF,2.22,2.21994339,2.22,9/12/08,2008,10/10/08,1/8/09,1/16/09,12/31/10,5/9/11,,,,,Water,Urban sewerage,na,na,na,na,na,na,na,na,na,na
28315,28315,,,,VIE,Viet Nam,Southeast Asia,C,B1,Third Provincial Towns Water Supply and Sanitation Project,Project,Project loan,,COL,60,69.14,58.53618995,12/13/01,2001,4/2/02,7/1/02,9/17/02,6/30/08,7/20/11,11,12.46,98,104.8,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
28331,28331,,,,SRI,Sri Lanka,South Asia,B,B1,Road Network Improvement Project,Project,Project loan,,COL,80,94.74,91.19355266,12/8/98,1998,1/28/99,4/28/99,2/26/99,6/30/05,4/7/09,16,22.4,123.3,183.1,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
28338,28338,,,,CAM,Cambodia,Southeast Asia,A,A,Primary Roads Restoration Project,Project,Project loan,,COL,68,67.61,68.82,9/21/99,1999,11/4/99,2/2/00,6/30/00,1/31/04,8/4/06,6.86,6.85,88.1,86.96,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
28388,28388,,,,PRC,China,East Asia,C,B2,Shanxi Environment Improvement Project,Project,Project loan,,OCR,102,99.04,102,12/7/99,1999,11/27/00,2/25/01,5/25/01,6/30/04,12/2/05,23.04,6.71,183,182.04,Energy,Energy efficiency and conservation,na,na,successful,highly relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29041,29041,,,,BAN,Bangladesh,South Asia,B,B1,Urban Governance and Infrastructure Improvement Project,Project,Sector loan,,COL,60,65.1,62.57888494,11/28/02,2002,2/3/03,5/4/03,8/25/03,12/31/09,12/8/10,0,0,87,87.23,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
29070,29070,,,,PRC,China,East Asia,C,B2,Chongqing-Guizhou Roads Development Project (Leichong Expressway),Project,Project loan,,OCR,120,119.74,120,11/21/00,2000,8/29/01,11/27/01,11/27/01,9/30/05,1/29/08,0,0,345,333.2,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29082,29082,,,,PHI,Philippines,Southeast Asia,C,C,Clark Area Municipal Development Project,Project,Project loan,,OCR,24.3,3.33,24.3,12/15/98,1998,3/1/99,5/30/99,6/28/99,6/30/05,11/8/05,0,0,41.8,7.2,Water,"Urban policy, institutional and capacity development",na,na,na,na,na,na,na,na,na,na
29120,29120,,,,IND,India,South Asia,B,B2,Rajasthan Urban Infrastructure Development Project,Project,Project loan,,OCR,250,250,250,12/3/98,1998,12/1/99,2/29/00,1/18/00,6/30/05,6/11/09,0,0,362,445.95,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29242,29242,,,,BHU,Bhutan,South Asia,A,A,Sustainable Rural Electrification Project,Project,Project loan,,COL,10,9.25,9.9,11/25/99,1999,1/12/00,4/11/00,1/14/00,3/31/04,1/12/06,0,0,12.5,11.6,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29250,29250,,,,IND,India,South Asia,B,B2,Surat-Manor Tollway Project,Project,Project loan,,OCR,180,149.75,180,7/27/00,2000,10/5/00,1/3/01,11/8/00,9/30/04,1/13/06,0,0,280,246.79,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,effective,highly efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
29271,29271,32105,,,REG,#N/A,Southeast Asia,REG,REG,GMS: East-West Corridor (Regional) Project,Project,Project loan,,COL,57,55.47,21.05,12/20/99,1999,3/21/00,6/20/00,9/21/00,12/31/04,2/22/08,0,0,76.2,70.02,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
29271,29271,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,GMS: East-West Corridor (Regional) Project,Project,Project loan,,COL,32,32.78,30.99,12/20/99,1999,3/21/00,6/20/00,9/21/00,12/31/04,2/22/08,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
29282,29282,,,,CAM,Cambodia,Southeast Asia,A,A,Provincial Towns Improvement Project,Project,Project loan,,COL,26.26,27.53,26.32,12/17/99,1999,2/2/00,5/2/00,4/11/00,12/31/05,12/12/07,0,0.23,34.54,46.15,Water,"Urban policy, institutional and capacity development",na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29282,29282,,,,CAM,Cambodia,Southeast Asia,A,A,Provincial Towns Improvement Project,Project,Project loan,,COL,20,20.84,19.66,12/17/99,1999,2/2/00,5/2/00,4/11/00,12/31/05,12/12/07,,,,,Water,"Urban policy, institutional and capacity development",na,na,-,-,-,-,-,-,-,-
29282,29282,,,,CAM,Cambodia,Southeast Asia,A,A,Provincial Towns Improvement (Supplementary Loan),Project,Project loan,,COL,6.26,6.7,6.66,10/28/03,2003,12/18/03,3/17/04,1/2/04,6/30/06,5/17/07,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
29426,29426,,,,PRC,China,East Asia,C,B2,Shanxi Road Development Project,Project,Project loan,,OCR,250,241.06,250,9/30/99,1999,8/1/01,10/30/01,11/1/00,6/30/04,3/23/06,48.2,37.2,726.1,617.5,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
29466,29466,,,,IND,India,South Asia,B,B2,Kolkata Environmental Improvement,Project,Project loan,Project loan,OCR,330,241.77,330,12/19/00,2000,12/18/01,3/18/02,4/16/02,12/31/10,11/13/13,0,0,162.6,168.83,Water,Urban sewerage,na,na,na,na,na,na,na,na,na,na
29471,29471,,,,NEP,Nepal,South Asia,A,A,"Rural Electrification, Distribution, and Transmission Project",Project,Project loan,,COL,50,38.16,48.42692064,12/21/99,1999,7/31/00,10/12/00,3/14/02,6/30/05,12/19/08,10,6.1,94.5,57.1,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
29472,29472,,,,NEP,Nepal,South Asia,A,A,Road Network Development Project,Project,Project loan,,COL,46,45.06,47.27716966,12/13/01,2001,12/10/02,3/8/03,3/11/03,12/31/07,1/11/10,9.6,8.4,69.5,66.411,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
29473,29473,,,,IND,India,South Asia,B,B2,Madhya Pradesh Power Sector Development Program,Program/Project,SDP loan,,OCR,350,327.49,350,12/6/01,2001,3/21/02,3/22/02,3/22/02,6/30/06,4/3/07,0,0,468.9,260.05,Energy,Energy sector development and institutional reform,na,na,less than successful,highly relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
29473,29473,,,,IND,India,South Asia,B,B2,Madhya Pradesh Power Sector Development Program (Program Loan),Program,SDP - Program loan,,OCR,150,148.5,150,12/6/01,2001,3/21/02,3/22/02,3/22/02,12/31/03,11/28/03,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
29473,29473,,,,IND,India,South Asia,B,B2,Madhya Pradesh Power Sector Development Program (Project Loan),Project,SDP - Project loan,,OCR,200,178.99,200,12/6/01,2001,3/21/02,3/22/02,3/22/02,6/30/06,4/3/07,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
29566,29566,,,,MON,Mongolia,East Asia,B,A,Second Roads Development Project,Project,Project loan,,COL,25,21.73,25.16,9/30/99,1999,1/24/00,4/23/00,3/2/00,1/31/05,2/27/07,0,0,33.5,30.2,Transportation,Road transport (non-urban),na,na,highly successful,highly relevant,highly effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
29567,29567,,,,UZB,Uzbekistan,Central and West Asia,B,C,Road Rehabilitation Project,Project,Project loan,,OCR,50,0.6,50,12/15/98,1998,3/18/99,6/16/99,4/21/99,6/30/03,8/16/02,0,0,83.5,0.6,Transportation,Road transport (non-urban),na,na,unsuccessful,relevant,ineffective,nr,nr,less than satisfactory,less than satisfactory,less than satisfactory
29568,29568,32463,,,REG,#N/A,Central and West Asia,REG,REG,Almaty-Bishkek Regional Road Rehabilitation Project,Project,Project loan,,COL/OCR,70,54.4,56.83,10/31/00,2000,6/4/01,9/2/01,5/31/02,6/30/05,3/7/08,25.8,29.3,119.1,128.9,Transportation,Road transport (non-urban),na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
29568,29568,,,,REG,#N/A,Central and West Asia,REG,REG,Almaty-Bishkek Regional Road Rehabilitation Project,Project,Project loan,,OCR,52,49.8,52,10/31/00,2000,6/4/01,9/2/01,5/31/02,6/30/05,6/30/07,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
29629,29629,,,,MON,Mongolia,East Asia,B,A,Ulaanbaatar Heat Efficiency Project,Project,Project loan,,COL,40,40.99,40.16,9/25/97,1997,12/9/97,3/19/98,11/24/98,6/30/03,3/1/07,3,0,55.7,48.12,Energy,Energy utility services,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
29694,29694,,,,IND,India,South Asia,B,B2,Gujarat Power Sector Development Program,Program/Project,SDP loan,,OCR,350,259.06,350,12/13/00,2000,12/14/00,12/15/00,12/15/00,12/31/02,3/20/07,0,0,460.2,300.24,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
29694,29694,,,,IND,India,South Asia,B,B2,Gujarat Power Sector Development Program (Program Loan),Program,SDP - Program loan,,OCR,150,150,150,12/13/00,2000,12/14/00,12/15/00,12/15/00,12/31/02,12/10/03,,,,,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
29694,29694,,,,IND,India,South Asia,B,B2,Gujarat Power Sector Development Program (Project Loan),Project,SDP - Project loan,,OCR,200,109.06,200,12/13/00,2000,12/14/00,12/15/00,12/15/00,6/30/05,3/20/07,,,,,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
30022,30022,,,,BAN,Bangladesh,South Asia,B,B1,Southwest Road Network Development Project,Project,Project loan,,COL,115,89,115.19,11/16/99,1999,12/7/99,3/6/00,3/2/00,9/30/04,9/27/06,19.4,12.15,214.4,160.86,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30076,30076,,,,VIE,Viet Nam,Southeast Asia,C,B1,Third Road Improvement Project,Project,Project loan,,COL,130,165.06,178.58,12/10/98,1998,4/13/99,7/12/99,9/20/99,12/31/03,4/27/06,0,0,238.72,231.03,Transportation,Road transport (non-urban),na,na,successful,highly relevant,highly effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30207,30207,,,,SRI,Sri Lanka,South Asia,B,B1,Power Sector Development Program,Program/Project,SDP loan,,OCR/ADF,130,111.49,129.8930809,10/31/02,2002,11/12/02,11/12/02,11/28/02,6/30/07,5/12/10,0,0,167.9,136.6,Energy,Energy sector development and institutional reform,na,na,less than successful,less than relevant,less than effective,less than efficient,nr,less than satisfactory,less than satisfactory,satisfactory
30207,30207,,,,SRI,Sri Lanka,South Asia,B,B1,Power Sector Development Program (Program Loan),Program,SDP - Program loan,,OCR,60,30.6,60,10/31/02,2002,11/12/02,11/12/02,11/28/02,6/30/05,8/30/06,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
