term,subcategory,subcat_sim,category,category_display,pillar,is_seed
branches,Forestry & Forest Management,0.49127432703971863,ESS6,E3,E,False
budget,Fiscal Management & Sustainability,0.6053233742713928,DIM2_3,G2,G,False
budget_allocation,Fiscal Management & Sustainability,0.6725863814353943,DIM2_3,G2,G,False
budget_allocations,Fiscal Management & Sustainability,0.6819101572036743,DIM2_3,G2,G,False
budget_planning,Fiscal Management & Sustainability,0.767945408821106,DIM2_3,G2,G,False
budgetary,Fiscal Management & Sustainability,0.8184493184089661,DIM2_3,G2,G,False
budgetary_allocations,Fiscal Management & Sustainability,0.7138426303863525,DIM2_3,G2,G,False
budgets,Fiscal Management & Sustainability,0.6684327125549316,DIM2_3,G2,G,False
building,Cultural Heritage,0.40395641326904297,ESS8,S5,S,False
buildings,Cultural Heritage,0.4673132002353668,ESS8,S5,S,False
bulk_power,Energy Efficiency,0.5033062696456909,ESS3_R,E2,E,False
bulk_water,Water Resources & Conservation,0.6500815153121948,ESS3_R,E2,E,False
bureaucracy,Anti-Corruption,0.5260749459266663,DIM8_9,G5,G,False
bureaucratic,Anti-Corruption,0.5213013887405396,DIM8_9,G5,G,False
burial,Waste Management & Disposal,0.4592801630496979,ESS3_P,E1,E,False
bushes,Forestry & Forest Management,0.4500214755535126,ESS6,E3,E,False
business_plan,Strategic Plan,0.5833948850631714,DIM1,G1,G,False
business_plans,Strategic Plan,0.5889235138893127,DIM1,G1,G,False
buyer,Bidding & Contract Management,0.480158269405365,DIM6,G3,G,False
buyers,Bidding & Contract Management,0.5250717401504517,DIM6,G3,G,False
candidates,Bidding & Contract Management,0.4229004681110382,DIM6,G3,G,False
capacities,Institutional Capacity,0.4452533721923828,DIM1,G1,G,False
capacity,Institutional Capacity,0.4094243347644806,DIM1,G1,G,False
capacity_building,Institutional Capacity,0.5502638816833496,DIM1,G1,G,False
capacity_building_activities,Institutional Capacity,0.5088601112365723,DIM1,G1,G,False
capacity_building_program,Institutional Capacity,0.50185626745224,DIM1,G1,G,False
capacity_constraints,Institutional Capacity,0.420454204082489,DIM1,G1,G,False
capacity_development,Institutional Capacity,0.5746746063232422,DIM1,G1,G,False
capital_budgets,Fiscal Management & Sustainability,0.7035492658615112,DIM2_3,G2,G,False
capital_cost,Cost Analysis & Valuation,0.6198700070381165,DIM2_3,G2,G,False
capital_costs,Cost Analysis & Valuation,0.659916877746582,DIM2_3,G2,G,False
capital_expenditure,Fiscal Management & Sustainability,0.7066707015037537,DIM2_3,G2,G,False
capital_expenditures,Fiscal Management & Sustainability,0.7156750559806824,DIM2_3,G2,G,False
capital_intensive,Economic Efficiency & Benefits,0.594737708568573,DIM2_3,G2,G,False
capital_investment,Cost Analysis & Valuation,0.5343701243400574,DIM2_3,G2,G,False
capital_investment_program,Cost Analysis & Valuation,0.5038209557533264,DIM2_3,G2,G,False
capital_investments,Fiscal Management & Sustainability,0.519338846206665,DIM2_3,G2,G,False
cash_basis,Bidding & Contract Management,0.4429139494895935,DIM6,G3,G,False
cash_flow,Cost Analysis & Valuation,0.5541605353355408,DIM2_3,G2,G,False
cash_flows,Cost Analysis & Valuation,0.5475754141807556,DIM2_3,G2,G,False
cash_generation,Fiscal Management & Sustainability,0.5380018353462219,DIM2_3,G2,G,False
cash_operating_expenses,Cost Analysis & Valuation,0.5751731991767883,DIM2_3,G2,G,False
cash_positive,Bidding & Contract Management,0.476495623588562,DIM6,G3,G,False
catalytic,Emissions & Hazardous Pollutants,0.4817160964012146,ESS3_P,E1,E,False
catastrophic,Accidents & Hazards,0.5071045756340027,ESS4,S2,S,False
catchment,Water Resources & Conservation,0.5124073028564453,ESS3_R,E2,E,False
catchment_area,Water Resources & Conservation,0.5488165020942688,ESS3_R,E2,E,False
catchments,Water Resources & Conservation,0.5102181434631348,ESS3_R,E2,E,False
cattle,Species & Wildlife,0.5484672784805298,ESS6,E3,E,False
caution,Workplace Health & Safety,0.6299060583114624,ESS2,S1,S,False
caves,Habitats & Ecosystems,0.43848493695259094,ESS6,E3,E,False
central_government,Institutional Capacity,0.5225582718849182,DIM1,G1,G,False
centralization,Institutional Capacity,0.5376191139221191,DIM1,G1,G,False
centrally_planned,Strategic Plan,0.5714514851570129,DIM1,G1,G,False
certification,Safety Assessment & Standards,0.5263570547103882,ESS4,S2,S,False
charcoal,Emissions & Hazardous Pollutants,0.4181421995162964,ESS3_P,E1,E,False
charges,Accountability & Integrity,0.4783962666988373,DIM8_9,G5,G,False
chemical,Emissions & Hazardous Pollutants,0.5126741528511047,ESS3_P,E1,E,False
chlorine,Emissions & Hazardous Pollutants,0.44493013620376587,ESS3_P,E1,E,False
civil,Accountability & Integrity,0.4504072666168213,DIM8_9,G5,G,False
civil_service,Labor Management & Employment,0.6194552779197693,ESS2,S1,S,False
clean_energy,Energy Efficiency,0.8202068209648132,ESS3_R,E2,E,False
clean_water,Water Resources & Conservation,0.7359115481376648,ESS3_R,E2,E,False
cleanliness,Workplace Health & Safety,0.5097618699073792,ESS2,S1,S,False
climate,Emissions & Hazardous Pollutants,0.5658196210861206,ESS3_P,E1,E,False
climatic,Emissions & Hazardous Pollutants,0.486564576625824,ESS3_P,E1,E,False
close_coordination,Institutional Capacity,0.5435515642166138,DIM1,G1,G,False
close_monitoring,Operations & Performance,0.5135688185691833,DIM7,G4,G,False
co_benefits,Economic Efficiency & Benefits,0.5734780430793762,DIM2_3,G2,G,False
co_finance,Fiscal Management & Sustainability,0.547184944152832,DIM2_3,G2,G,False
co_financed,Fiscal Management & Sustainability,0.46632981300354004,DIM2_3,G2,G,False
co_financier,Bidding & Contract Management,0.4952224791049957,DIM6,G3,G,False
co_financiers,Bidding & Contract Management,0.4622896909713745,DIM6,G3,G,False
co_financing,Fiscal Management & Sustainability,0.49740052223205566,DIM2_3,G2,G,False
co_operation,Institutional Capacity,0.560855507850647,DIM1,G1,G,False
co_operative,Institutional Capacity,0.5116236805915833,DIM1,G1,G,False
co_operatives,Institutional Capacity,0.47875261306762695,DIM1,G1,G,False
co_ordination,Institutional Capacity,0.5690362453460693,DIM1,G1,G,False
coal,Emissions & Hazardous Pollutants,0.5419760942459106,ESS3_P,E1,E,False
coal_based,Emissions & Hazardous Pollutants,0.5316802859306335,ESS3_P,E1,E,False
coal_fired,Emissions & Hazardous Pollutants,0.5836950540542603,ESS3_P,E1,E,False
coal_mining,Emissions & Hazardous Pollutants,0.589878261089325,ESS3_P,E1,E,False
cofinanciers,Fiscal Management & Sustainability,0.41401830315589905,DIM2_3,G2,G,False
cogeneration,Emissions & Hazardous Pollutants,0.46848562359809875,ESS3_P,E1,E,False
collection_efficiency,Economic Efficiency & Benefits,0.45914703607559204,DIM2_3,G2,G,False
collectives,Indigenous Peoples,0.5000354647636414,ESS7,S4,S,False
combustion,Emissions & Hazardous Pollutants,0.5120958685874939,ESS3_P,E1,E,False
commercial_bank,Bidding & Contract Management,0.4835638999938965,DIM6,G3,G,False
commercial_banks,Bidding & Contract Management,0.4523977041244507,DIM6,G3,G,False
commercial_basis,Bidding & Contract Management,0.5228728652000427,DIM6,G3,G,False
commissions,Bidding & Contract Management,0.4595860242843628,DIM6,G3,G,False
committees,Institutional Capacity,0.45407819747924805,DIM1,G1,G,False
commodities,Raw Material Use,0.49345672130584717,ESS3_R,E2,E,False
commodity,Raw Material Use,0.5067998170852661,ESS3_R,E2,E,False
commune,Indigenous Peoples,0.48761045932769775,ESS7,S4,S,False
communes,Indigenous Peoples,0.49115583300590515,ESS7,S4,S,False
communities,Indigenous Peoples,0.551534116268158,ESS7,S4,S,False
community,Indigenous Peoples,0.5190315246582031,ESS7,S4,S,False
compensation,Labor Management & Employment,0.5765894651412964,ESS2,S1,S,False
compensations,Labor Management & Employment,0.5023342370986938,ESS2,S1,S,False
compensatory,Grievance Mechanisms,0.48651888966560364,ESS2,S1,S,False
competence,Workplace Health & Safety,0.5013937950134277,ESS2,S1,S,False
competitive_bidding_procedures,Bidding & Contract Management,0.6483162641525269,DIM6,G3,G,False
competitive_bidding_process,Bidding & Contract Management,0.6501269936561584,DIM6,G3,G,False
complainants,Grievance Mechanisms,0.6243577599525452,ESS2,S1,S,False
complaint,Grievance Mechanisms,0.6895717978477478,ESS2,S1,S,False
complaint_handling,Grievance Mechanisms,0.663040280342102,ESS2,S1,S,False
complaints,Grievance Mechanisms,0.6036874055862427,ESS2,S1,S,False
compliance,Accountability & Integrity,0.6392431259155273,DIM8_9,G5,G,False
compliant,Accountability & Integrity,0.5641832947731018,DIM8_9,G5,G,False
comprehensiveness,Institutional Capacity,0.4488723874092102,DIM1,G1,G,False
comptroller,Operations & Performance,0.4865039587020874,DIM7,G4,G,False
computerized_accounting_system,Operations & Performance,0.5502066612243652,DIM7,G4,G,False
computerized_financial_management,Fiscal Management & Sustainability,0.4969104826450348,DIM2_3,G2,G,False
concession,Dispute Resolution,0.4770148694515228,DIM7,G4,G,False
concessionaires,Bidding & Contract Management,0.5100855231285095,DIM6,G3,G,False
concessionary,Bidding & Contract Management,0.5267040133476257,DIM6,G3,G,False
concessions,Dispute Resolution,0.5230819582939148,DIM7,G4,G,False
concurrence,Institutional Capacity,0.4657312333583832,DIM1,G1,G,False
confidentiality,Transparency & Disclosure,0.5923436880111694,DIM8_9,G5,G,False
conflict,Dispute Resolution,0.5096501708030701,DIM7,G4,G,False
conflicts,Dispute Resolution,0.5202299952507019,DIM7,G4,G,False
consensus_building,Institutional Capacity,0.5460056066513062,DIM1,G1,G,False
conservation,Habitats & Ecosystems,0.5477510094642639,ESS6,E3,E,False
consolidated_financial_statements,Fiscal Management & Sustainability,0.4850924015045166,DIM2_3,G2,G,False
consolidation,Institutional Capacity,0.4250154495239258,DIM1,G1,G,False
consortia,Institutional Capacity,0.5152627825737,DIM1,G1,G,False
consortium,Institutional Capacity,0.5195903182029724,DIM1,G1,G,False
constituents,Institutional Capacity,0.41324278712272644,DIM1,G1,G,False
constitutional,Accountability & Integrity,0.4043283760547638,DIM8_9,G5,G,False
construction_contracts,Bidding & Contract Management,0.6676673889160156,DIM6,G3,G,False
construction_cost,Cost Analysis & Valuation,0.5602088570594788,DIM2_3,G2,G,False
construction_costs,Cost Analysis & Valuation,0.5780739188194275,DIM2_3,G2,G,False
construction_materials,Raw Material Use,0.658852756023407,ESS3_R,E2,E,False
construction_quality,Safety Assessment & Standards,0.5628227591514587,ESS4,S2,S,False
consultancies,Bidding & Contract Management,0.47146522998809814,DIM6,G3,G,False
consultancy,Procurement Systems & Processes,0.4416651725769043,DIM6,G3,G,False
consultancy_services,Procurement Systems & Processes,0.5879776477813721,DIM6,G3,G,False
consultant,Bidding & Contract Management,0.4357469975948334,DIM6,G3,G,False
consultant_selection,Bidding & Contract Management,0.5965085625648499,DIM6,G3,G,False
consultant_services,Bidding & Contract Management,0.5825822949409485,DIM6,G3,G,False
consultant_team,Bidding & Contract Management,0.5457361936569214,DIM6,G3,G,False
consultants,Bidding & Contract Management,0.4511030316352844,DIM6,G3,G,False
consultation_process,Procurement Systems & Processes,0.5302650928497314,DIM6,G3,G,False
consulting_firm,Bidding & Contract Management,0.6270438432693481,DIM6,G3,G,False
consulting_firms,Bidding & Contract Management,0.6078696250915527,DIM6,G3,G,False
consulting_services,Bidding & Contract Management,0.5939483642578125,DIM6,G3,G,False
consumer_surplus,Economic Efficiency & Benefits,0.5534443259239197,DIM2_3,G2,G,False
consumption_levels,Energy Efficiency,0.5401750802993774,ESS3_R,E2,E,False
container,Waste Management & Disposal,0.44360071420669556,ESS3_P,E1,E,False
containers,Waste Management & Disposal,0.43737584352493286,ESS3_P,E1,E,False
contaminants,Emissions & Hazardous Pollutants,0.6594675779342651,ESS3_P,E1,E,False
contamination,Emissions & Hazardous Pollutants,0.5271862745285034,ESS3_P,E1,E,False
contentious,Dispute Resolution,0.42343419790267944,DIM7,G4,G,False
contract_administration,Bidding & Contract Management,0.6204817891120911,DIM6,G3,G,False
contract_award,Bidding & Contract Management,0.6864097118377686,DIM6,G3,G,False
contract_documents,Bidding & Contract Management,0.6119717955589294,DIM6,G3,G,False
contract_packages,Procurement Systems & Processes,0.5168936848640442,DIM6,G3,G,False
contract_price,Bidding & Contract Management,0.591378390789032,DIM6,G3,G,False
contract_sections,Bidding & Contract Management,0.4446665942668915,DIM6,G3,G,False
contract_specifications,Procurement Systems & Processes,0.509103536605835,DIM6,G3,G,False
contract_value,Bidding & Contract Management,0.5310758352279663,DIM6,G3,G,False
contracting,Bidding & Contract Management,0.5490851402282715,DIM6,G3,G,False
contractor,Bidding & Contract Management,0.4948303699493408,DIM6,G3,G,False
contracts,Labor Management & Employment,0.5371949672698975,ESS2,S1,S,False
contractual,Labor Management & Employment,0.5497421026229858,ESS2,S1,S,False
control_procedures,Operations & Performance,0.43993744254112244,DIM7,G4,G,False
control_system,Operations & Performance,0.4749428629875183,DIM7,G4,G,False
control_systems,Operations & Performance,0.49566328525543213,DIM7,G4,G,False
controversy,Dispute Resolution,0.40849748253822327,DIM7,G4,G,False
convening,Institutional Capacity,0.4464525878429413,DIM1,G1,G,False
cooperative,Institutional Capacity,0.42888230085372925,DIM1,G1,G,False
cooperatives,Institutional Capacity,0.4327828884124756,DIM1,G1,G,False
coordinated,Institutional Capacity,0.4633069634437561,DIM1,G1,G,False
coordinating,Institutional Capacity,0.48362335562705994,DIM1,G1,G,False
coordination,Institutional Capacity,0.500842273235321,DIM1,G1,G,False
coordination_unit,Institutional Capacity,0.6439911723136902,DIM1,G1,G,False
coordinators,Institutional Capacity,0.4485444724559784,DIM1,G1,G,False
corporate_governance,Operations & Performance,0.5435735583305359,DIM7,G4,G,False
corporatization,Institutional Capacity,0.4180314838886261,DIM1,G1,G,False
corrections,Accountability & Integrity,0.4163364768028259,DIM8_9,G5,G,False
corrective,Accountability & Integrity,0.47353869676589966,DIM8_9,G5,G,False
corrupt,Anti-Corruption,0.6302547454833984,DIM8_9,G5,G,False
corruption,Anti-Corruption,0.7036893367767334,DIM8_9,G5,G,False
cost_accounting,Cost Analysis & Valuation,0.7112606763839722,DIM2_3,G2,G,False
cost_based,Cost Analysis & Valuation,0.7023154497146606,DIM2_3,G2,G,False
cost_benefit,Cost Analysis & Valuation,0.7007315754890442,DIM2_3,G2,G,False
cost_competitive,Cost Analysis & Valuation,0.6309771537780762,DIM2_3,G2,G,False
cost_effective,Economic Efficiency & Benefits,0.6465544700622559,DIM2_3,G2,G,False
cost_effectively,Economic Efficiency & Benefits,0.5912092924118042,DIM2_3,G2,G,False
cost_effectiveness,Cost Analysis & Valuation,0.6851076483726501,DIM2_3,G2,G,False
cost_efficiency,Economic Efficiency & Benefits,0.7567591667175293,DIM2_3,G2,G,False
cost_efficient,Economic Efficiency & Benefits,0.7285168170928955,DIM2_3,G2,G,False
cost_estimate,Cost Analysis & Valuation,0.6300560235977173,DIM2_3,G2,G,False
cost_estimates,Cost Analysis & Valuation,0.6580376029014587,DIM2_3,G2,G,False
cost_increase,Cost Analysis & Valuation,0.6339946985244751,DIM2_3,G2,G,False
cost_increases,Cost Analysis & Valuation,0.6566145420074463,DIM2_3,G2,G,False
cost_management,Cost Analysis & Valuation,0.7474894523620605,DIM2_3,G2,G,False
cost_overrun,Cost Analysis & Valuation,0.6700367331504822,DIM2_3,G2,G,False
cost_overruns,Cost Analysis & Valuation,0.6637943983078003,DIM2_3,G2,G,False
cost_plus,Cost Analysis & Valuation,0.6673876047134399,DIM2_3,G2,G,False
cost_recovery,Cost Analysis & Valuation,0.6626916527748108,DIM2_3,G2,G,False
cost_reduction,Cost Analysis & Valuation,0.6931723356246948,DIM2_3,G2,G,False
cost_reflective,Cost Analysis & Valuation,0.570889949798584,DIM2_3,G2,G,False
cost_saving,Cost Analysis & Valuation,0.6710578799247742,DIM2_3,G2,G,False
cost_savings,Cost Analysis & Valuation,0.6960373520851135,DIM2_3,G2,G,False
cost_shared,Cost Analysis & Valuation,0.5461506247520447,DIM2_3,G2,G,False
