term,subcategory,subcat_sim,category,category_display,pillar,is_seed,x,y
aquifer,Water Resources & Conservation,0.4952560365200043,ESS3_R,E2,E,False,35.688522,54.935356
aquifers,Water Resources & Conservation,0.49134159088134766,ESS3_R,E2,E,False,35.66348,54.861767
arable,Land Acquisition & Property Rights,0.47820621728897095,ESS5,S3,S,False,30.240444,27.048832
arbitration,Dispute Resolution,0.5464889407157898,DIM7,G4,G,False,-11.870215,-0.48069045
archeological,Cultural Heritage,0.5691587924957275,ESS8,S5,S,False,19.968355,10.516456
archeology,Cultural Heritage,0.598981499671936,ESS8,S5,S,False,20.232887,10.685617
architectural,Cultural Heritage,0.47373083233833313,ESS8,S5,S,False,13.859022,11.961817
architecture,Cultural Heritage,0.50352543592453,ESS8,S5,S,False,13.948328,11.945525
arid,Habitats & Ecosystems,0.4279959201812744,ESS6,E3,E,False,33.955116,32.581524
art,Cultural Heritage,0.43226271867752075,ESS8,S5,S,False,12.895561,5.128076
artifacts,Cultural Heritage,0.47879087924957275,ESS8,S5,S,False,20.592579,8.870047
arts,Cultural Heritage,0.4630976915359497,ESS8,S5,S,False,12.89693,5.129596
aryans,Indigenous Peoples,0.4819246530532837,ESS7,S4,S,False,30.2719,-5.5842476
asbestos,Emissions & Hazardous Pollutants,0.5100927948951721,ESS3_P,E1,E,False,11.473935,33.336544
asset_management_system,Operations & Performance,0.5865687727928162,DIM7,G4,G,False,31.828182,-24.138996
assurance,Safety Assessment & Standards,0.5142440795898438,ESS4,S2,S,False,-16.836933,13.039155
assurances,Accountability & Integrity,0.46112385392189026,DIM8_9,G5,G,False,-16.84771,12.992111
atmosphere,Emissions & Hazardous Pollutants,0.5804255604743958,ESS3_P,E1,E,False,9.236084,32.150826
attorney,Legal & Law,0.41157615184783936,DIM1,G1,G,False,-10.258017,-1.894601
attractions,Cultural Heritage,0.4996785521507263,ESS8,S5,S,False,14.124932,8.1045065
auction,Bidding & Contract Management,0.562760591506958,DIM6,G3,G,False,3.4086199,-67.714554
audit,Accountability & Integrity,0.494448721408844,DIM8_9,G5,G,False,-13.854889,-53.9588
audit_department,Operations & Performance,0.5459334254264832,DIM7,G4,G,False,-12.706895,-53.866005
audit_report,Operations & Performance,0.5165297985076904,DIM7,G4,G,False,-13.59533,-55.283566
audit_reports,Operations & Performance,0.5021280646324158,DIM7,G4,G,False,-13.632623,-55.351803
audited_financial_statements,Transparency & Disclosure,0.4611213505268097,DIM8_9,G5,G,False,-16.987013,-54.568306
auditing_standards,Safety Assessment & Standards,0.5205297470092773,ESS4,S2,S,False,-13.03834,-56.329838
auditor,Operations & Performance,0.5422007441520691,DIM7,G4,G,False,-11.068059,-50.34372
auditors,Operations & Performance,0.48314979672431946,DIM7,G4,G,False,-11.085727,-50.522526
authorization,Transparency & Disclosure,0.4745074510574341,DIM8_9,G5,G,False,-14.250108,-7.0860977
authorizations,Transparency & Disclosure,0.49006015062332153,DIM8_9,G5,G,False,-14.33124,-7.209735
average_cost,Cost Analysis & Valuation,0.5247991681098938,DIM2_3,G2,G,False,-36.11813,-23.933493
average_income,Labor Management & Employment,0.46859315037727356,ESS2,S1,S,False,-40.78615,-18.86035
average_incremental_cost,Cost Analysis & Valuation,0.4911253750324249,DIM2_3,G2,G,False,-34.592583,-24.429907
average_price,Bidding & Contract Management,0.428235799074173,DIM6,G3,G,False,-36.477108,-23.52671
average_tariff,Economic Efficiency & Benefits,0.44261083006858826,DIM2_3,G2,G,False,-22.064676,37.242256
average_water,Water Resources & Conservation,0.7114091515541077,ESS3_R,E2,E,False,29.663944,56.044144
bacteria,Disease & Health Risks,0.5060744881629944,ESS4,S2,S,False,49.173626,5.658447
bamboo,Forestry & Forest Management,0.48693931102752686,ESS6,E3,E,False,41.900837,31.969938
bankruptcy,Dispute Resolution,0.42969951033592224,DIM7,G4,G,False,-41.731525,-10.501112
base_cost,Cost Analysis & Valuation,0.5285773277282715,DIM2_3,G2,G,False,-35.875,-26.747805
base_costs,Cost Analysis & Valuation,0.5570865869522095,DIM2_3,G2,G,False,-35.875076,-26.762663
basic_information,Transparency & Disclosure,0.5888922810554504,DIM8_9,G5,G,False,-7.9556804,-15.013761
basin,Water Resources & Conservation,0.4479558765888214,ESS3_R,E2,E,False,35.45385,49.456818
basin_wide,Habitats & Ecosystems,0.5138774514198303,ESS6,E3,E,False,35.92193,49.98666
basins,Water Resources & Conservation,0.4080818295478821,ESS3_R,E2,E,False,35.31748,49.370365
batteries,Energy Efficiency,0.42623481154441833,ESS3_R,E2,E,False,-12.025263,58.076115
battery,Energy Efficiency,0.4789937734603882,ESS3_R,E2,E,False,-11.99642,58.182987
behavior,Workplace Health & Safety,0.514985203742981,ESS2,S1,S,False,-10.219531,12.1962805
behaviors,Workplace Health & Safety,0.5106443166732788,ESS2,S1,S,False,-10.234044,12.212506
benefit_analysis,Economic Efficiency & Benefits,0.6846001744270325,DIM2_3,G2,G,False,-26.262142,-19.207611
benefit_cost,Economic Efficiency & Benefits,0.6956450939178467,DIM2_3,G2,G,False,-25.782646,-19.38623
bid_documents,Bidding & Contract Management,0.7176485061645508,DIM6,G3,G,False,6.9132543,-62.5546
bid_evaluation,Bidding & Contract Management,0.659567654132843,DIM6,G3,G,False,0.5073829,-64.19858
bid_evaluation_report,Bidding & Contract Management,0.5690432786941528,DIM6,G3,G,False,-0.116628,-64.04584
bid_evaluation_reports,Bidding & Contract Management,0.5425112843513489,DIM6,G3,G,False,-0.18674585,-64.044525
bid_opening,Bidding & Contract Management,0.6431196928024292,DIM6,G3,G,False,3.5122037,-64.77356
bid_prices,Bidding & Contract Management,0.613082230091095,DIM6,G3,G,False,3.6424232,-65.33463
bidding,Bidding & Contract Management,0.6637346744537354,DIM6,G3,G,False,3.5131266,-66.81764
bidding_document,Bidding & Contract Management,0.7115927934646606,DIM6,G3,G,False,6.365392,-63.127083
bidding_documents,Bidding & Contract Management,0.7390454411506653,DIM6,G3,G,False,6.7399144,-62.860554
bidding_procedures,Bidding & Contract Management,0.7006741762161255,DIM6,G3,G,False,3.6256037,-62.90636
bidding_process,Bidding & Contract Management,0.7163751721382141,DIM6,G3,G,False,3.490415,-63.034664
bin,Waste Management & Disposal,0.5210210680961609,ESS3_P,E1,E,False,6.449958,46.150597
biodiversity,Biodiversity Conservation,0.7696300148963928,ESS6,E3,E,False,42.069485,21.061512
biogas,Emissions & Hazardous Pollutants,0.4756243824958801,ESS3_P,E1,E,False,6.2438073,38.21296
biological,Species & Wildlife,0.5106056928634644,ESS6,E3,E,False,43.600952,21.942533
biomass,Forestry & Forest Management,0.5314093828201294,ESS6,E3,E,False,6.3524003,38.65029
biota,Biodiversity Conservation,0.5618414878845215,ESS6,E3,E,False,42.88186,22.066687
bird,Species & Wildlife,0.45064783096313477,ESS6,E3,E,False,44.438267,25.945786
birds,Species & Wildlife,0.5251894593238831,ESS6,E3,E,False,44.025463,25.631237
borrowings,Fiscal Management & Sustainability,0.5051735639572144,DIM2_3,G2,G,False,-49.03197,-31.067085
branches,Forestry & Forest Management,0.49127432703971863,ESS6,E3,E,False,38.34756,30.999065
budget,Fiscal Management & Sustainability,0.6053233742713928,DIM2_3,G2,G,False,-29.632542,-36.54105
budget_allocation,Fiscal Management & Sustainability,0.6725863814353943,DIM2_3,G2,G,False,-32.320873,-38.981365
budget_allocations,Fiscal Management & Sustainability,0.6819101572036743,DIM2_3,G2,G,False,-32.365494,-38.965134
budget_planning,Fiscal Management & Sustainability,0.767945408821106,DIM2_3,G2,G,False,-31.146608,-38.5356
budgetary,Fiscal Management & Sustainability,0.8184493184089661,DIM2_3,G2,G,False,-31.46248,-37.861176
budgetary_allocations,Fiscal Management & Sustainability,0.7138426303863525,DIM2_3,G2,G,False,-32.44525,-38.81823
budgets,Fiscal Management & Sustainability,0.6684327125549316,DIM2_3,G2,G,False,-29.632776,-36.551758
building,Cultural Heritage,0.40395641326904297,ESS8,S5,S,False,15.3662405,12.935407
buildings,Cultural Heritage,0.4673132002353668,ESS8,S5,S,False,15.460786,12.901518
bulk_power,Energy Efficiency,0.5033062696456909,ESS3_R,E2,E,False,-24.168142,56.00277
bulk_water,Water Resources & Conservation,0.6500815153121948,ESS3_R,E2,E,False,19.30746,55.530735
bureaucracy,Anti-Corruption,0.5260749459266663,DIM8_9,G5,G,False,-0.9189098,-8.065649
bureaucratic,Anti-Corruption,0.5213013887405396,DIM8_9,G5,G,False,-0.90837544,-8.077969
burial,Waste Management & Disposal,0.4592801630496979,ESS3_P,E1,E,False,10.333097,16.924215
bushes,Forestry & Forest Management,0.4500214755535126,ESS6,E3,E,False,37.088936,30.486647
business_plan,Strategic Plan,0.5833948850631714,DIM1,G1,G,False,5.9762454,-37.45249
business_plans,Strategic Plan,0.5889235138893127,DIM1,G1,G,False,5.9900866,-37.44455
buyer,Bidding & Contract Management,0.480158269405365,DIM6,G3,G,False,-47.67362,-5.4430943
buyers,Bidding & Contract Management,0.5250717401504517,DIM6,G3,G,False,-46.887142,-5.151041
candidates,Bidding & Contract Management,0.4229004681110382,DIM6,G3,G,False,-33.518795,-1.7967087
capacities,Institutional Capacity,0.4452533721923828,DIM1,G1,G,False,27.040394,-24.854483
capacity,Institutional Capacity,0.4094243347644806,DIM1,G1,G,False,27.038107,-24.858221
capacity_building,Institutional Capacity,0.5502638816833496,DIM1,G1,G,False,25.272083,-25.05766
capacity_building_activities,Institutional Capacity,0.5088601112365723,DIM1,G1,G,False,24.788195,-24.744265
capacity_building_program,Institutional Capacity,0.50185626745224,DIM1,G1,G,False,24.784225,-24.822987
capacity_constraints,Institutional Capacity,0.420454204082489,DIM1,G1,G,False,26.47125,-26.491762
capacity_development,Institutional Capacity,0.5746746063232422,DIM1,G1,G,False,25.100927,-25.132446
capital_budgets,Fiscal Management & Sustainability,0.7035492658615112,DIM2_3,G2,G,False,-32.644135,-34.833794
capital_cost,Cost Analysis & Valuation,0.6198700070381165,DIM2_3,G2,G,False,-31.372828,-31.72532
capital_costs,Cost Analysis & Valuation,0.659916877746582,DIM2_3,G2,G,False,-31.423561,-31.87789
capital_expenditure,Fiscal Management & Sustainability,0.7066707015037537,DIM2_3,G2,G,False,-34.290703,-34.45029
capital_expenditures,Fiscal Management & Sustainability,0.7156750559806824,DIM2_3,G2,G,False,-34.23016,-34.487633
capital_intensive,Economic Efficiency & Benefits,0.594737708568573,DIM2_3,G2,G,False,-31.923042,-33.213104
capital_investment,Cost Analysis & Valuation,0.5343701243400574,DIM2_3,G2,G,False,-15.243851,-38.716652
capital_investment_program,Cost Analysis & Valuation,0.5038209557533264,DIM2_3,G2,G,False,-14.198721,-39.93805
capital_investments,Fiscal Management & Sustainability,0.519338846206665,DIM2_3,G2,G,False,-15.142839,-38.71661
cash_basis,Bidding & Contract Management,0.4429139494895935,DIM6,G3,G,False,-40.687782,-45.699677
cash_flow,Cost Analysis & Valuation,0.5541605353355408,DIM2_3,G2,G,False,-41.304424,-43.67304
cash_flows,Cost Analysis & Valuation,0.5475754141807556,DIM2_3,G2,G,False,-41.249638,-43.585777
cash_generation,Fiscal Management & Sustainability,0.5380018353462219,DIM2_3,G2,G,False,-42.954193,-44.857685
cash_operating_expenses,Cost Analysis & Valuation,0.5751731991767883,DIM2_3,G2,G,False,-40.665966,-41.78397
cash_positive,Bidding & Contract Management,0.476495623588562,DIM6,G3,G,False,-41.784317,-45.76841
catalytic,Emissions & Hazardous Pollutants,0.4817160964012146,ESS3_P,E1,E,False,5.2386675,33.091152
catastrophic,Accidents & Hazards,0.5071045756340027,ESS4,S2,S,False,0.08906788,18.695381
catchment,Water Resources & Conservation,0.5124073028564453,ESS3_R,E2,E,False,33.31123,50.539314
catchment_area,Water Resources & Conservation,0.5488165020942688,ESS3_R,E2,E,False,33.248917,51.654366
catchments,Water Resources & Conservation,0.5102181434631348,ESS3_R,E2,E,False,33.316547,50.442036
cattle,Species & Wildlife,0.5484672784805298,ESS6,E3,E,False,46.44646,27.170305
caution,Workplace Health & Safety,0.6299060583114624,ESS2,S1,S,False,-13.338648,18.190413
caves,Habitats & Ecosystems,0.43848493695259094,ESS6,E3,E,False,32.69904,28.280422
central_government,Institutional Capacity,0.5225582718849182,DIM1,G1,G,False,2.9622183,-29.771036
centralization,Institutional Capacity,0.5376191139221191,DIM1,G1,G,False,3.6646557,-13.576736
centrally_planned,Strategic Plan,0.5714514851570129,DIM1,G1,G,False,4.309426,-30.665682
certification,Safety Assessment & Standards,0.5263570547103882,ESS4,S2,S,False,-23.949785,-3.2084134
charcoal,Emissions & Hazardous Pollutants,0.4181421995162964,ESS3_P,E1,E,False,2.4337149,32.90058
charges,Accountability & Integrity,0.4783962666988373,DIM8_9,G5,G,False,-47.614254,-28.126411
chemical,Emissions & Hazardous Pollutants,0.5126741528511047,ESS3_P,E1,E,False,13.553535,35.357662
chlorine,Emissions & Hazardous Pollutants,0.44493013620376587,ESS3_P,E1,E,False,14.727727,36.665443
civil,Accountability & Integrity,0.4504072666168213,DIM8_9,G5,G,False,-1.81749,0.8075849
civil_service,Labor Management & Employment,0.6194552779197693,ESS2,S1,S,False,-8.198801,-29.718584
clean_energy,Energy Efficiency,0.8202068209648132,ESS3_R,E2,E,False,-7.6783166,51.27464
clean_water,Water Resources & Conservation,0.7359115481376648,ESS3_R,E2,E,False,20.938171,55.193333
cleanliness,Workplace Health & Safety,0.5097618699073792,ESS2,S1,S,False,19.10379,44.017876
climate,Emissions & Hazardous Pollutants,0.5658196210861206,ESS3_P,E1,E,False,34.48033,35.932564
climatic,Emissions & Hazardous Pollutants,0.486564576625824,ESS3_P,E1,E,False,34.288837,36.06838
close_coordination,Institutional Capacity,0.5435515642166138,DIM1,G1,G,False,7.2548513,-19.883816
close_monitoring,Operations & Performance,0.5135688185691833,DIM7,G4,G,False,21.806326,-45.57213
co_benefits,Economic Efficiency & Benefits,0.5734780430793762,DIM2_3,G2,G,False,-24.806793,-18.429163
co_finance,Fiscal Management & Sustainability,0.547184944152832,DIM2_3,G2,G,False,-20.135803,-42.077843
co_financed,Fiscal Management & Sustainability,0.46632981300354004,DIM2_3,G2,G,False,-20.402771,-40.890907
co_financier,Bidding & Contract Management,0.4952224791049957,DIM6,G3,G,False,-19.459946,-41.732964
co_financiers,Bidding & Contract Management,0.4622896909713745,DIM6,G3,G,False,-19.399704,-41.855618
co_financing,Fiscal Management & Sustainability,0.49740052223205566,DIM2_3,G2,G,False,-20.283865,-41.369137
co_operation,Institutional Capacity,0.560855507850647,DIM1,G1,G,False,7.6155624,-17.332098
co_operative,Institutional Capacity,0.5116236805915833,DIM1,G1,G,False,7.0498366,-16.861444
co_operatives,Institutional Capacity,0.47875261306762695,DIM1,G1,G,False,6.859294,-16.433306
co_ordination,Institutional Capacity,0.5690362453460693,DIM1,G1,G,False,7.926722,-17.831707
coal,Emissions & Hazardous Pollutants,0.5419760942459106,ESS3_P,E1,E,False,1.5195081,33.106327
coal_based,Emissions & Hazardous Pollutants,0.5316802859306335,ESS3_P,E1,E,False,0.44138035,33.164734
coal_fired,Emissions & Hazardous Pollutants,0.5836950540542603,ESS3_P,E1,E,False,0.28635567,33.22465
coal_mining,Emissions & Hazardous Pollutants,0.589878261089325,ESS3_P,E1,E,False,0.28823358,33.112473
cofinanciers,Fiscal Management & Sustainability,0.41401830315589905,DIM2_3,G2,G,False,-18.961302,-42.09709
cogeneration,Emissions & Hazardous Pollutants,0.46848562359809875,ESS3_P,E1,E,False,7.230928,-15.505045
collection_efficiency,Economic Efficiency & Benefits,0.45914703607559204,DIM2_3,G2,G,False,19.962158,-17.205984
collectives,Indigenous Peoples,0.5000354647636414,ESS7,S4,S,False,4.7294674,-15.4782505
combustion,Emissions & Hazardous Pollutants,0.5120958685874939,ESS3_P,E1,E,False,3.6251879,33.690273
commercial_bank,Bidding & Contract Management,0.4835638999938965,DIM6,G3,G,False,-28.393942,-44.724926
commercial_banks,Bidding & Contract Management,0.4523977041244507,DIM6,G3,G,False,-28.347944,-44.7483
commercial_basis,Bidding & Contract Management,0.5228728652000427,DIM6,G3,G,False,-29.024567,-43.97362
commissions,Bidding & Contract Management,0.4595860242843628,DIM6,G3,G,False,-36.80002,1.2660722
committees,Institutional Capacity,0.45407819747924805,DIM1,G1,G,False,0.008139789,-15.017422
commodities,Raw Material Use,0.49345672130584717,ESS3_R,E2,E,False,45.713306,13.036998
commodity,Raw Material Use,0.5067998170852661,ESS3_R,E2,E,False,45.7156,13.036067
commune,Indigenous Peoples,0.48761045932769775,ESS7,S4,S,False,23.82,4.122217
communes,Indigenous Peoples,0.49115583300590515,ESS7,S4,S,False,23.694136,4.017101
communities,Indigenous Peoples,0.551534116268158,ESS7,S4,S,False,22.932861,0.9766167
community,Indigenous Peoples,0.5190315246582031,ESS7,S4,S,False,22.95055,0.95192516
compensation,Labor Management & Employment,0.5765894651412964,ESS2,S1,S,False,-51.694595,-25.265556
compensations,Labor Management & Employment,0.5023342370986938,ESS2,S1,S,False,-51.667324,-25.202522
compensatory,Grievance Mechanisms,0.48651888966560364,ESS2,S1,S,False,-15.490625,4.877979
competence,Workplace Health & Safety,0.5013937950134277,ESS2,S1,S,False,-23.761276,-2.2069309
competitive_bidding_procedures,Bidding & Contract Management,0.6483162641525269,DIM6,G3,G,False,2.8410387,-62.163742
competitive_bidding_process,Bidding & Contract Management,0.6501269936561584,DIM6,G3,G,False,2.7743206,-62.237713
complainants,Grievance Mechanisms,0.6243577599525452,ESS2,S1,S,False,-3.967234,7.5268455
complaint,Grievance Mechanisms,0.6895717978477478,ESS2,S1,S,False,-4.009084,7.9165606
complaint_handling,Grievance Mechanisms,0.663040280342102,ESS2,S1,S,False,-3.3312407,7.641707
complaints,Grievance Mechanisms,0.6036874055862427,ESS2,S1,S,False,-4.356497,7.8974996
compliance,Accountability & Integrity,0.6392431259155273,DIM8_9,G5,G,False,-2.6193938,-3.0763996
compliant,Accountability & Integrity,0.5641832947731018,DIM8_9,G5,G,False,-2.6132197,-3.1042395
comprehensiveness,Institutional Capacity,0.4488723874092102,DIM1,G1,G,False,4.385866,-11.906821
comptroller,Operations & Performance,0.4865039587020874,DIM7,G4,G,False,-14.912559,-27.655996
computerized_accounting_system,Operations & Performance,0.5502066612243652,DIM7,G4,G,False,-16.150818,-48.10079
computerized_financial_management,Fiscal Management & Sustainability,0.4969104826450348,DIM2_3,G2,G,False,-20.166012,-50.45209
concession,Dispute Resolution,0.4770148694515228,DIM7,G4,G,False,-18.332163,-5.3229165
concessionaires,Bidding & Contract Management,0.5100855231285095,DIM6,G3,G,False,-20.260397,-6.055196
concessionary,Bidding & Contract Management,0.5267040133476257,DIM6,G3,G,False,-20.022608,-6.0054216
concessions,Dispute Resolution,0.5230819582939148,DIM7,G4,G,False,-18.355665,-5.1889377
concurrence,Institutional Capacity,0.4657312333583832,DIM1,G1,G,False,6.4378905,-13.860151
confidentiality,Transparency & Disclosure,0.5923436880111694,DIM8_9,G5,G,False,-10.798316,-11.22286
conflict,Dispute Resolution,0.5096501708030701,DIM7,G4,G,False,-6.541332,10.985747
conflicts,Dispute Resolution,0.5202299952507019,DIM7,G4,G,False,-6.4996486,10.946428
consensus_building,Institutional Capacity,0.5460056066513062,DIM1,G1,G,False,4.8260603,-14.249924
conservation,Habitats & Ecosystems,0.5477510094642639,ESS6,E3,E,False,24.89118,11.485645
